galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC0024,0.21,17.4,6.51,1.51,18.55,0.0,1441.7142857142856
NGC0024,0.32,31.0,8.86,2.27,25.65,0.0,3003.125
NGC0024,0.43,36.1,8.16,3.03,29.58,0.0,3030.720930232558
NGC0024,0.54,46.0,8.52,3.84,33.96,0.0,3918.5185185185182
NGC0024,0.64,58.0,6.9,4.53,36.83,0.0,5256.25
NGC0024,0.74,63.4,9.55,5.28,39.62,0.0,5431.8378378378375
NGC0024,0.85,71.9,8.52,6.04,43.11,0.0,6081.89411764706
NGC0024,0.96,76.4,6.82,6.8,46.75,0.0,6080.166666666668
NGC0024,1.07,78.1,6.65,7.62,50.04,0.0,5700.570093457943
NGC0024,1.17,80.5,6.14,8.31,52.76,0.0,5538.675213675214
NGC0024,1.28,82.8,5.8,9.07,55.72,0.0,5356.124999999999
NGC0024,1.38,85.6,6.48,9.82,58.31,0.0,5309.681159420289
NGC0024,1.48,88.0,7.5,10.57,61.08,0.0,5232.4324324324325
NGC0024,1.59,92.0,8.52,11.19,63.47,0.0,5323.270440251572
NGC0024,1.7,92.4,8.52,11.92,65.59,0.0,5022.211764705882
NGC0024,1.8,95.1,9.2,12.54,66.83,0.0,5024.449999999999
NGC0024,1.91,96.5,8.52,13.26,68.03,0.0,4875.523560209424
NGC0024,2.02,101.0,8.86,13.88,68.59,0.0,5050.0
NGC0024,2.13,99.9,9.55,14.61,69.0,0.0,4685.450704225354
NGC0024,2.23,103.0,8.18,15.23,69.17,0.0,4757.399103139013
NGC0024,2.34,104.0,8.52,15.96,69.56,0.0,4622.222222222223
NGC0024,2.44,107.0,9.2,16.58,69.75,0.0,4692.213114754099
NGC0024,2.54,107.0,9.55,17.3,69.69,0.0,4507.48031496063
NGC0024,2.65,106.0,11.2,17.92,69.65,0.0,4240.0
NGC0024,2.76,107.0,11.2,18.55,69.52,0.0,4148.188405797102
NGC0024,7.07,104.0,3.11,26.32,52.21,0.0,1529.8444130127298
NGC0024,8.49,106.0,2.55,24.76,47.19,0.0,1323.439340400471
NGC0024,9.91,109.0,4.95,22.59,43.11,0.0,1198.8900100908174
NGC0024,11.27,110.0,2.83,20.52,40.05,0.0,1073.6468500443657
