galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC05986,0.63,29.5,2.53,-2.22,32.45,0.0,1381.3492063492063
UGC05986,1.26,50.8,3.76,-8.54,43.44,0.0,2048.126984126984
UGC05986,1.88,68.2,2.58,-2.13,53.72,0.0,2474.0638297872347
UGC05986,2.51,84.3,2.28,8.88,65.57,0.0,2831.2709163346617
UGC05986,3.13,95.3,2.01,11.55,69.99,0.0,2901.6261980830673
UGC05986,3.77,106.0,3.58,16.04,70.54,0.0,2980.371352785146
UGC05986,4.39,112.0,4.25,20.82,71.78,0.0,2857.4031890660594
UGC05986,5.02,115.0,3.18,24.3,71.41,0.0,2634.4621513944226
UGC05986,5.65,116.0,2.32,25.4,67.79,0.0,2381.592920353982
UGC05986,6.28,116.0,2.01,24.6,64.52,0.0,2142.6751592356686
UGC05986,6.9,116.0,2.28,25.5,61.11,0.0,1950.1449275362318
UGC05986,7.54,114.0,3.05,25.7,56.38,0.0,1723.6074270557028
UGC05986,8.16,112.0,3.69,24.6,53.17,0.0,1537.2549019607843
UGC05986,8.79,109.0,5.1,24.9,50.65,0.0,1351.6496018202504
UGC05986,9.41,107.0,6.39,27.79,48.55,0.0,1216.6843783209351
