galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_radius_term_i,eta_sigma_term_i,eta_dw_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
DDO168,0.41,15.0,13.301372109673498,4.1,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,1,2.338001907854017,0.10762250956485397,0.2219632202903082,1411436.8717334084,1695138.329382244,0.6555728752246982,1111286.7084967091,0.34442712477530185,0.5796946015699254,0.5,0.10799872809732196,59085011.817944735,2.52681,13.301372109673498,0.11324185935510016,0.039003568021886266
DDO168,0.82,23.4,22.071746645881923,1.3,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,1,2.338001907854017,0.10762250956485397,0.2219632202903082,1411436.8717334084,1695138.329382244,0.6555728752246982,1111286.7084967091,0.34442712477530185,0.5796946015699254,0.5,0.10799872809732196,59085011.817944735,2.52681,22.071746645881923,0.05676296385119981,0.019550704432993147
DDO168,1.24,29.2,25.138022993067693,1.5,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,1,2.338001907854017,0.10762250956485397,0.2219632202903082,1411436.8717334084,1695138.329382244,0.6555728752246982,1111286.7084967091,0.34442712477530185,0.5796946015699254,0.5,0.10799872809732196,59085011.817944735,2.52681,25.138022993067693,0.13910880160727077,0.04791284456853016
DDO168,1.64,36.2,25.762765767673315,1.1,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,1,2.338001907854017,0.10762250956485397,0.2219632202903082,1411436.8717334084,1695138.329382244,0.6555728752246982,1111286.7084967091,0.34442712477530185,0.5796946015699254,0.5,0.10799872809732196,59085011.817944735,2.52681,25.762765767673315,0.28832138763333387,0.09930570655377445
DDO168,2.47,52.1,28.32203735609428,1.2,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,2,2.230379398289163,0.10762250956485397,0.0816557054410123,804246.0719736515,1302136.844268526,0.5482197399704849,713857.122170879,0.45178026002951516,0.2334596231707153,0.5,0.1797470678072246,91516478.10766615,6.7415699999999985,28.32203735609428,0.45639083769492744,0.20618837132890258
DDO168,2.89,52.9,28.554554803043242,1.7,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,2,2.230379398289163,0.10762250956485397,0.0816557054410123,804246.0719736515,1302136.844268526,0.5482197399704849,713857.122170879,0.45178026002951516,0.2334596231707153,0.5,0.1797470678072246,91516478.10766615,6.7415699999999985,28.554554803043242,0.4602163553299954,0.20791666468082107
DDO168,3.3,54.8,28.506204587773517,2.2,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,2,2.230379398289163,0.10762250956485397,0.0816557054410123,804246.0719736515,1302136.844268526,0.5482197399704849,713857.122170879,0.45178026002951516,0.2334596231707153,0.5,0.1797470678072246,91516478.10766615,6.7415699999999985,28.506204587773517,0.4798137848946438,0.21677039650544805
DDO168,3.71,55.0,28.488123841348344,2.5,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,2,2.230379398289163,0.10762250956485397,0.0816557054410123,804246.0719736515,1302136.844268526,0.5482197399704849,713857.122170879,0.45178026002951516,0.2334596231707153,0.5,0.1797470678072246,91516478.10766615,6.7415699999999985,28.488123841348344,0.4820341119754847,0.2177734964513809
DDO168,4.12,52.0,28.01935937882949,2.7,1.24,data\derived\crossmatch\sparc_structure_test32\per_galaxy\DDO168_structure_enriched.csv,2,2.230379398289163,0.10762250956485397,0.0816557054410123,804246.0719736515,1302136.844268526,0.5482197399704849,713857.122170879,0.45178026002951516,0.2334596231707153,0.5,0.1797470678072246,91516478.10766615,6.7415699999999985,28.01935937882949,0.46116616579174063,0.20834577029820708
ESO563-G021,0.45,18.9,65.19,9.78,0.35,data\derived\crossmatch\sparc_structure_test32\per_galaxy\ESO563-G021_structure_enriched.csv,1,2.10705888903762,0.008663310458691509,2.0032647362399478e-20,4.636661338935868e-13,0.047892032377770975,0.728860384579668,0.034906605137164065,0.271139615420332,0.8596625281126064,0.30227060945009593,0.26196074064158675,2671672080.6021585,4.166312500000001,65.19,2.4492063492063494,0.6640768676088449
