galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
D631-7,SPARC,0.45,8.41,1.58,8.4,9.99,0,13.05220671
D631-7,SPARC,0.9,17.8,2.22,13.51,15.52,0,20.57645499
D631-7,SPARC,1.35,26,2.35,16.7,20.76,0,26.64334063
D631-7,SPARC,1.8,30.9,2.22,18.72,21.37,0,28.40977473
D631-7,SPARC,2.25,34.7,1.82,19.9,19.92,0,28.15699558
D631-7,SPARC,2.69,38.8,1.81,20.61,18.76,0,27.86951202
D631-7,SPARC,3.14,42.5,1.57,20.73,17.36,0,27.03890715
D631-7,SPARC,3.59,45.6,1.59,20.61,16.32,0,26.28905666
D631-7,SPARC,4.04,48.8,1.83,20.38,15.37,0,25.52609057
D631-7,SPARC,4.49,51.8,1.91,19.9,14.49,0,24.61645994
D631-7,SPARC,4.94,54.8,2.19,19.43,13.72,0,23.78577936
D631-7,SPARC,5.39,56.6,2.73,18.84,13.04,0,22.91259915
D631-7,SPARC,5.84,58.4,3.27,18.25,12.45,0,22.09219319
D631-7,SPARC,6.29,58.5,3.95,17.65,11.93,0,21.30369452
D631-7,SPARC,6.74,57.7,4.07,17.06,11.48,0,20.56292781
D631-7,SPARC,7.19,57.3,3.94,16.47,11.08,0,19.85012091
