galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
UGC02953,0.09,231.0,52.9,1.1724553378206137,73639.5,23895.06093224797,97534.56093224797,81.4097967077673,46.37408202759724,93.69157103978094,,1834.232328115643,1834.232328115643,formula
UGC02953,0.17,231.0,27.9,0.5710312838363203,143299.90000000002,6161.200242223284,149461.1002422233,156.08005317784847,32.36362218877792,159.4000848217402,,1834.232328115643,1834.232328115643,formula
UGC02953,0.26,231.0,16.4,0.19928068123502815,164501.3269230769,1405.8733380392193,165907.20026111612,206.8099248101986,19.118762195555366,207.69177178667957,,1834.232328115643,1834.232328115643,formula
UGC02953,0.34,231.0,11.9,0.015898974122130954,154448.92058823528,85.77180093731359,154534.6923891726,229.156350555685,5.400223358222012,229.21997166983223,,1834.232328115643,1834.232328115643,formula
UGC02953,0.43,232.0,8.04,0.0,137489.28395348834,0.0,137489.28395348834,243.14685295105093,0.0,243.14685295105093,,1834.232328115643,1834.232328115643,formula
UGC02953,0.51,232.0,6.53,0.0,124335.25764705882,0.0,124335.25764705882,251.81537165153364,0.0,251.81537165153364,,1834.232328115643,1834.232328115643,formula
UGC02953,0.6,232.0,4.75,0.0,112708.86449999998,0.0,112708.86449999998,260.04868524951246,0.0,260.04868524951246,,1834.232328115643,1834.232328115643,formula
UGC02953,0.69,232.0,4.0,0.0,102947.1139130435,0.0,102947.1139130435,266.5211222398705,0.0,266.5211222398705,,1834.232328115643,1834.232328115643,formula
UGC02953,0.77,233.0,5.69,0.0,95731.09012987014,0.0,95731.09012987014,271.50126961029116,0.0,271.50126961029116,,1834.232328115643,1834.232328115643,formula
UGC02953,0.86,233.0,4.83,0.0,88550.89593023254,0.0,88550.89593023254,275.95972622830305,0.0,275.95972622830305,,1834.232328115643,1834.232328115643,formula
UGC02953,0.95,234.0,10.8,0.0,82475.98042105265,0.0,82475.98042105265,279.91459661832573,0.0,279.91459661832573,,1834.232328115643,1834.232328115643,formula
UGC02953,1.03,235.0,10.3,0.0,78288.60932038832,0.0,78288.60932038832,283.96701850743153,0.0,283.96701850743153,,1834.232328115643,1834.232328115643,formula
UGC02953,1.11,235.0,10.6,0.0,74343.70639639637,0.0,74343.70639639637,287.2655811265944,0.0,287.2655811265944,,1834.232328115643,1834.232328115643,formula
UGC02953,1.2,236.0,10.2,0.0,70727.67158333334,0.0,70727.67158333334,291.33006350186383,0.0,291.33006350186383,,1834.232328115643,1834.232328115643,formula
UGC02953,1.29,237.0,10.6,0.0,67484.12620155039,0.0,67484.12620155039,295.05003440094697,0.0,295.05003440094697,,1834.232328115643,1834.232328115643,formula
UGC02953,1.38,238.0,14.2,0.0,64475.169057971034,0.0,64475.169057971034,298.28800394920347,0.0,298.28800394920347,,1834.232328115643,1834.232328115643,formula
UGC02953,1.46,238.0,14.1,0.0,61909.519863013695,0.0,61909.519863013695,300.6458032303128,0.0,300.6458032303128,,1834.232328115643,1834.232328115643,formula
UGC02953,1.55,239.0,19.6,0.0,59151.08148387096,0.0,59151.08148387096,302.7939502367905,0.0,302.7939502367905,,1834.232328115643,1834.232328115643,formula
UGC02953,1.63,240.0,17.8,0.0,56832.40668711658,0.0,56832.40668711658,304.3629788591247,0.0,304.3629788591247,,1834.232328115643,1834.232328115643,formula
UGC02953,1.72,241.0,7.14,0.0,54355.6913372093,0.0,54355.6913372093,305.76427047645706,0.0,305.76427047645706,,1834.232328115643,1834.232328115643,formula
UGC02953,1.8,242.0,11.9,0.0,52296.158388888885,0.0,52296.158388888885,306.8111554360434,0.0,306.8111554360434,,1834.232328115643,1834.232328115643,formula
UGC02953,1.89,243.0,10.9,0.0,50104.84857142858,0.0,50104.84857142858,307.73066762999105,0.0,307.73066762999105,,1834.232328115643,1834.232328115643,formula
UGC02953,1.98,244.0,17.6,0.0,48055.054646464654,0.0,48055.054646464654,308.462328656191,0.0,308.462328656191,,1834.232328115643,1834.232328115643,formula
UGC02953,2.07,246.0,11.4,0.0,46153.234637681155,0.0,46153.234637681155,309.09091817780734,0.0,309.09091817780734,,1834.232328115643,1834.232328115643,formula
UGC02953,2.15,247.0,12.9,0.0,44580.86032558141,0.0,44580.86032558141,309.59465386211053,0.0,309.59465386211053,,1834.232328115643,1834.232328115643,formula
UGC02953,2.23,248.0,15.4,0.0,43116.873049327354,0.0,43116.873049327354,310.0816455387194,0.0,310.0816455387194,,1834.232328115643,1834.232328115643,formula
UGC02953,2.32,249.0,17.6,0.0,41594.174568965514,0.0,41594.174568965514,310.64205285183135,0.0,310.64205285183135,,1834.232328115643,1834.232328115643,formula
UGC02953,2.4,251.0,24.0,0.0,40346.55520833333,0.0,40346.55520833333,311.1779756023874,0.0,311.1779756023874,,1834.232328115643,1834.232328115643,formula
UGC02953,2.49,252.0,10.1,0.0,39062.99325301204,0.0,39062.99325301204,311.87634280272044,0.0,311.87634280272044,,1834.232328115643,1834.232328115643,formula
UGC02953,2.58,253.0,12.0,0.0,37916.6668992248,0.0,37916.6668992248,312.76988441983985,0.0,312.76988441983985,,1834.232328115643,1834.232328115643,formula
UGC02953,2.67,254.0,6.34,0.0,36910.62719101123,0.0,36910.62719101123,313.9289324034979,0.0,313.9289324034979,,1834.232328115643,1834.232328115643,formula
UGC02953,2.75,256.0,6.22,0.0,36117.441163636366,0.0,36117.441163636366,315.1554587818526,0.0,315.1554587818526,,1834.232328115643,1834.232328115643,formula
UGC02953,2.83,257.0,5.6,0.0,35412.28409893993,0.0,35412.28409893993,316.57031446425924,0.0,316.57031446425924,,1834.232328115643,1834.232328115643,formula
UGC02953,2.92,259.0,8.73,0.0,34713.4776369863,0.0,34713.4776369863,318.3761214350096,0.0,318.3761214350096,,1834.232328115643,1834.232328115643,formula
UGC02953,3.0,260.0,5.19,0.0,34135.7462,0.0,34135.7462,320.01131011262714,0.0,320.01131011262714,,1834.232328115643,1834.232328115643,formula
UGC02953,3.09,262.0,11.0,0.0,33518.40922330097,0.0,33518.40922330097,321.82586052087237,0.0,321.82586052087237,,1834.232328115643,1834.232328115643,formula
UGC02953,3.18,263.0,16.0,0.0,32902.334968553456,0.0,32902.334968553456,323.46472017825994,0.0,323.46472017825994,,1834.232328115643,1834.232328115643,formula
UGC02953,3.27,264.0,13.1,0.0,32290.676850152908,0.0,32290.676850152908,324.9469392070035,0.0,324.9469392070035,,1834.232328115643,1834.232328115643,formula
UGC02953,3.35,266.0,11.8,0.0,31749.32041791045,0.0,31749.32041791045,326.1291514109096,0.0,326.1291514109096,,1834.232328115643,1834.232328115643,formula
UGC02953,3.43,267.0,12.7,0.0,31204.95711370263,0.0,31204.95711370263,327.15898719124317,0.0,327.15898719124317,,1834.232328115643,1834.232328115643,formula
UGC02953,4.21,280.0,5.52,0.0,26271.387054631832,0.0,26271.387054631832,332.56960098601917,0.0,332.56960098601917,,1834.232328115643,1834.232328115643,formula
UGC02953,4.29,282.0,2.35,0.0,25839.7799067599,0.0,25839.7799067599,332.9454246569548,0.0,332.9454246569548,,1834.232328115643,1834.232328115643,formula
UGC02953,4.38,283.0,5.1,0.0,25353.948493150685,0.0,25353.948493150685,333.24209578023004,0.0,333.24209578023004,,1834.232328115643,1834.232328115643,formula
UGC02953,4.47,285.0,4.61,0.0,24891.471252796426,0.0,24891.471252796426,333.5639016740271,0.0,333.5639016740271,,1834.232328115643,1834.232328115643,formula
UGC02953,4.8,290.0,10.8,0.0,23301.3616875,0.0,23301.3616875,334.4346514642285,0.0,334.4346514642285,,1834.232328115643,1834.232328115643,formula
UGC02953,5.25,296.0,2.85,0.0,21528.777028571432,0.0,21528.777028571432,336.19351480955135,0.0,336.19351480955135,,1834.232328115643,1834.232328115643,formula
UGC02953,5.32,298.0,1.92,0.0,21283.028815789476,0.0,21283.028815789476,336.4902870812173,0.0,336.4902870812173,,1834.232328115643,1834.232328115643,formula
UGC02953,5.41,299.0,4.29,0.0,20963.35035120148,0.0,20963.35035120148,336.76657405389864,0.0,336.76657405389864,,1834.232328115643,1834.232328115643,formula
UGC02953,5.5,300.0,4.92,0.0,20642.17625454545,0.0,20642.17625454545,336.9450539776478,0.0,336.9450539776478,,1834.232328115643,1834.232328115643,formula
UGC02953,5.58,301.0,2.24,0.0,20349.807795698925,0.0,20349.807795698925,336.97466892928315,0.0,336.97466892928315,,1834.232328115643,1834.232328115643,formula
UGC02953,5.67,302.0,4.59,0.0,19998.489788359784,0.0,19998.489788359784,336.7364505069209,0.0,336.7364505069209,,1834.232328115643,1834.232328115643,formula
UGC02953,5.76,303.0,5.07,0.0,19682.354079861107,0.0,19682.354079861107,336.705152173233,0.0,336.705152173233,,1834.232328115643,1834.232328115643,formula
UGC02953,6.0,306.0,7.89,0.0,18877.445483333337,0.0,18877.445483333337,336.5481732233887,0.0,336.5481732233887,,1834.232328115643,1834.232328115643,formula
UGC02953,6.18,307.0,4.41,0.0,18296.979126213595,0.0,18296.979126213595,336.2667557163509,0.0,336.2667557163509,,1834.232328115643,1834.232328115643,formula
UGC02953,6.27,308.0,3.2,0.0,18020.33653907496,0.0,18020.33653907496,336.1361481602358,0.0,336.1361481602358,,1834.232328115643,1834.232328115643,formula
UGC02953,6.36,309.0,6.66,0.0,17756.039009433967,0.0,17756.039009433967,336.04822287880063,0.0,336.04822287880063,,1834.232328115643,1834.232328115643,formula
UGC02953,6.45,310.0,5.83,0.0,17504.624899224807,0.0,17504.624899224807,336.0131405168554,0.0,336.0131405168554,,1834.232328115643,1834.232328115643,formula
UGC02953,6.53,310.0,3.83,0.0,17291.12234303216,0.0,17291.12234303216,336.0223636902758,0.0,336.0223636902758,,1834.232328115643,1834.232328115643,formula
UGC02953,6.61,311.0,2.41,0.0,17091.732602117998,0.0,17091.732602117998,336.1195509041388,0.0,336.1195509041388,,1834.232328115643,1834.232328115643,formula
UGC02953,6.7,312.0,1.25,0.0,16885.288208955222,0.0,16885.288208955222,336.3501612902839,0.0,336.3501612902839,,1834.232328115643,1834.232328115643,formula
UGC02953,6.79,312.0,3.61,0.0,16697.64846833579,0.0,16697.64846833579,336.71506218166127,0.0,336.71506218166127,,1834.232328115643,1834.232328115643,formula
UGC02953,6.87,313.0,13.8,0.0,16499.97767103348,0.0,16499.97767103348,336.68211505810643,0.0,336.68211505810643,,1834.232328115643,1834.232328115643,formula
UGC02953,6.96,313.0,4.58,0.0,16317.650718390803,0.0,16317.650718390803,337.0027433122763,0.0,337.0027433122763,,1834.232328115643,1834.232328115643,formula
