galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,I_ext_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
UGC05986,0.63,29.5,32.52584971987665,2.53,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,1,2.239092251056424,0.04310607812080125,0.002351526737358146,22895.4063289526,50145.72220430221,42623.863873656876,0.1500000000000001,225870712.93037254,5.5459999999999985,32.52584971987665,0.1025711769449713,0.015385676541745705
UGC05986,1.26,50.8,44.27149421467497,3.76,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,1,2.239092251056424,0.04310607812080125,0.002351526737358146,22895.4063289526,50145.72220430221,42623.863873656876,0.1500000000000001,225870712.93037254,5.5459999999999985,44.27149421467497,0.1285138934119099,0.019277084011786502
UGC05986,1.88,68.2,53.76221070603403,2.58,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,1,2.239092251056424,0.04310607812080125,0.002351526737358146,22895.4063289526,50145.72220430221,42623.863873656876,0.1500000000000001,225870712.93037254,5.5459999999999985,53.76221070603403,0.21169779023410512,0.03175466853511579
UGC05986,2.51,84.3,66.168567311073,2.28,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,1,2.239092251056424,0.04310607812080125,0.002351526737358146,22895.4063289526,50145.72220430221,42623.863873656876,0.1500000000000001,225870712.93037254,5.5459999999999985,66.168567311073,0.2150822383028113,0.03226233574542172
UGC05986,3.77,106.0,72.34067458905814,3.58,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,2,2.1959861729356227,0.053765618297356266,0.0035019750235899777,78316.4658327307,101937.64763289006,86647.00048795655,0.15,415944505.8260893,14.883045000000001,72.34067458905814,0.31754080576360244,0.04763112086454036
UGC05986,4.39,112.0,74.73848272476502,4.25,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,2,2.1959861729356227,0.053765618297356266,0.0035019750235899777,78316.4658327307,101937.64763289006,86647.00048795655,0.15,415944505.8260893,14.883045000000001,74.73848272476502,0.33269211852888375,0.04990381777933256
UGC05986,5.02,115.0,75.43128064669192,3.18,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,2,2.1959861729356227,0.053765618297356266,0.0035019750235899777,78316.4658327307,101937.64763289006,86647.00048795655,0.15,415944505.8260893,14.883045000000001,75.43128064669192,0.34407582046354857,0.051611373069532285
UGC05986,5.65,116.0,72.3922930980916,2.32,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,2,2.1959861729356227,0.053765618297356266,0.0035019750235899777,78316.4658327307,101937.64763289006,86647.00048795655,0.15,415944505.8260893,14.883045000000001,72.3922930980916,0.3759285077750724,0.05638927616626086
UGC05986,6.9,116.0,66.21693212464619,2.28,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,3,2.1315610144617114,0.06442515847391128,0.0032834252118284575,59441.05134922817,83825.61009415772,71251.76858003406,0.15000000000000005,280998407.210728,24.153478999999997,66.21693212464619,0.42916437823580866,0.06437465673537132
UGC05986,7.54,114.0,61.961233041313825,3.05,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,3,2.1315610144617114,0.06442515847391128,0.0032834252118284575,59441.05134922817,83825.61009415772,71251.76858003406,0.15000000000000005,280998407.210728,24.153478999999997,61.961233041313825,0.4564804119182998,0.068472061787745
UGC05986,8.16,112.0,58.585056968479606,3.69,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,3,2.1315610144617114,0.06442515847391128,0.0032834252118284575,59441.05134922817,83825.61009415772,71251.76858003406,0.15000000000000005,280998407.210728,24.153478999999997,58.585056968479606,0.47691913421000354,0.07153787013150055
UGC05986,8.79,109.0,56.43963589535283,5.1,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,3,2.1315610144617114,0.06442515847391128,0.0032834252118284575,59441.05134922817,83825.61009415772,71251.76858003406,0.15000000000000005,280998407.210728,24.153478999999997,56.43963589535283,0.4822051752719924,0.07233077629079888
UGC05986,9.41,107.0,55.94092062167014,6.39,1.18,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05986_structure_enriched.csv,3,2.1315610144617114,0.06442515847391128,0.0032834252118284575,59441.05134922817,83825.61009415772,71251.76858003406,0.15000000000000005,280998407.210728,24.153478999999997,55.94092062167014,0.4771876577414006,0.07157814866121011
