galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC05721,0.09,16.5,4.57,1.23,16.63,0.0,3025.0
UGC05721,0.27,38.5,6.88,3.67,32.22,0.0,5489.814814814815
UGC05721,0.45,47.4,4.57,5.99,40.27,0.0,4992.799999999999
UGC05721,0.63,55.5,4.57,8.14,43.48,0.0,4889.285714285715
UGC05721,0.81,56.4,5.45,10.08,44.07,0.0,3927.111111111111
UGC05721,0.99,59.8,4.57,11.72,43.71,0.0,3612.1616161616157
UGC05721,1.17,67.8,4.57,13.25,44.14,0.0,3928.9230769230767
UGC05721,1.35,76.4,4.57,15.37,42.83,0.0,4323.674074074074
UGC05721,1.53,81.2,4.57,18.44,40.98,0.0,4309.437908496732
UGC05721,1.71,82.2,19.2,21.32,38.82,0.0,3951.3684210526317
UGC05721,1.89,82.6,4.57,22.09,36.95,0.0,3609.9259259259256
UGC05721,2.07,82.3,4.57,20.36,35.17,0.0,3272.12077294686
UGC05721,2.25,82.1,4.57,17.96,33.75,0.0,2995.7377777777774
UGC05721,2.67,81.4,4.57,18.44,30.81,0.0,2481.6329588014987
UGC05721,3.15,79.3,4.57,20.36,27.99,0.0,1996.3460317460317
UGC05721,3.61,78.5,4.57,20.55,25.88,0.0,1706.994459833795
UGC05721,4.04,78.2,4.57,20.74,24.31,0.0,1513.673267326733
UGC05721,4.49,78.1,4.57,21.71,22.96,0.0,1358.4877505567924
UGC05721,4.93,78.2,4.57,23.34,21.83,0.0,1240.4137931034486
UGC05721,5.38,78.3,4.57,24.59,20.85,0.0,1139.5706319702601
UGC05721,5.86,78.6,4.57,24.78,19.94,0.0,1054.2593856655287
UGC05721,6.28,78.9,4.57,24.59,19.24,0.0,991.2754777070065
UGC05721,6.74,79.5,4.57,24.59,18.55,0.0,937.7225519287833
