galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC02916,0.37,183.0,47.6,-2.62,11.2,123.59,90510.81081081081
UGC02916,0.74,196.0,40.7,-3.79,21.14,191.42,51913.51351351351
UGC02916,1.11,205.0,14.1,-4.87,30.05,218.87,37860.360360360355
UGC02916,1.48,211.0,7.89,-5.72,38.06,240.05,30081.756756756757
UGC02916,1.84,214.0,1.48,-6.31,45.23,258.74,24889.130434782608
UGC02916,2.21,214.0,1.5,-6.65,51.92,273.65,20722.171945701357
UGC02916,2.6,213.0,2.64,-6.69,58.41,280.2,17449.615384615383
UGC02916,2.96,211.0,4.5,-6.41,63.99,275.3,15040.878378378378
UGC02916,3.17,210.0,8.68,-6.08,66.97,274.94,13911.671924290222
UGC02916,3.33,209.0,3.0,-5.72,69.15,273.2,13117.417417417417
UGC02916,3.7,207.0,1.6,-4.34,74.09,268.56,11580.81081081081
UGC02916,4.07,206.0,1.73,0.84,78.64,262.81,10426.535626535626
UGC02916,4.44,205.0,3.45,5.14,83.02,255.92,9465.090090090089
UGC02916,4.81,205.0,2.77,7.67,87.31,248.41,8737.006237006237
UGC02916,5.18,206.0,7.48,9.9,90.63,241.01,8192.277992277992
UGC02916,5.55,207.0,5.02,12.08,91.17,233.88,7720.540540540541
UGC02916,5.92,208.0,7.7,14.21,91.98,227.13,7308.108108108108
UGC02916,6.28,210.0,1.95,16.44,93.75,220.9,7022.292993630573
UGC02916,6.34,210.0,4.78,16.75,94.14,219.93,6955.835962145111
UGC02916,6.65,212.0,1.96,18.67,96.53,214.9,6758.496240601504
UGC02916,7.03,214.0,0.76,20.8,99.17,209.22,6514.366998577525
UGC02916,7.39,215.0,2.22,22.73,101.39,204.19,6255.074424898512
UGC02916,7.77,216.0,1.76,24.56,103.08,199.24,6004.6332046332045
UGC02916,8.14,217.0,1.53,26.28,105.18,194.76,5784.889434889435
UGC02916,8.51,218.0,7.7,27.91,106.86,190.42,5584.48883666275
UGC02916,8.88,218.0,6.86,29.33,108.2,186.31,5351.801801801801
UGC02916,9.25,218.0,8.37,30.55,109.65,182.7,5137.72972972973
UGC02916,9.52,218.0,3.93,31.16,110.49,180.08,4992.01680672269
UGC02916,9.62,218.0,4.05,31.36,110.78,179.14,4940.12474012474
UGC02916,9.99,217.0,20.2,32.17,111.77,175.79,4713.613613613614
UGC02916,10.4,217.0,4.2,33.08,112.69,172.23,4527.788461538461
UGC02916,10.71,216.0,3.16,34.0,113.45,169.76,4356.302521008403
UGC02916,11.12,215.0,6.72,35.01,114.16,166.6,4156.924460431655
UGC02916,12.67,212.0,1.82,39.99,115.88,156.1,3547.277032359905
UGC02916,12.98,211.0,16.6,41.0,116.15,154.24,3429.9691833590136
UGC02916,15.86,209.0,8.38,52.47,115.82,139.51,2754.161412358134
UGC02916,19.05,215.0,13.2,66.17,112.66,127.33,2426.509186351706
UGC02916,22.14,215.0,13.9,76.32,108.18,118.11,2087.8500451671184
UGC02916,25.34,210.0,10.6,79.67,102.95,110.4,1740.3314917127072
UGC02916,28.53,196.0,12.8,78.35,97.69,104.04,1346.5124430424114
UGC02916,31.72,185.0,11.5,74.49,92.71,98.67,1078.9722572509459
UGC02916,34.91,182.0,10.8,72.76,88.3,94.06,948.8398739616157
UGC02916,38.0,181.0,10.3,70.63,85.07,90.15,862.1315789473684
