galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,volume_kpc3,m_enc_inner_msun,m_enc_outer_msun,m_shell_msun,mu_shell_msun_per_kpc3,v_bar_internal_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,vdgrad_i,dyn_persist_i,e_struct_i,p_stat_i,beta_i,g_bar_internal_km2s2_per_kpc,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_segment_kms,source_file
DDO168,1,0.41,2.06,1.235,1.6500000000000001,0.35,4.481246300896821,16866166.694955252,368457030.25638765,351590863.5614324,78458276.9956361,22.801932483717632,29.560000000000002,1.8199999999999998,5,4.12,-1.1913568069375622,2.5830251175718533,2.5830251175718533,0.0,0.0,0.4396449316696847,0.5,0.2997572815533981,1.1203530071298882,0.2997572815533981,0.0,0.0,0.0,1.0,0.0,420.99443319191687,75.93843599305563,0.0,0.0,357.8452682131293,0.0,420.99443319191687,22.801932483717632,DDO168_segment_structure_v6.csv
DDO168,2,2.47,4.12,3.295,1.65,0.35,11.956037701583012,460665386.16246337,752061340.5070091,291395954.3445458,24372284.666345954,28.378055993417775,53.36,2.06,5,4.12,-1.1913568069375622,2.5830251175718533,2.5830251175718533,0.0,0.0,0.1959623458854164,0.5,0.799757281553398,1.0876237298258413,0.799757281553398,0.0,0.0,0.0,1.0,0.0,244.40487464811974,44.08174036611977,0.0,0.0,207.7441434509018,0.0,244.40487464811974,28.378055993417775,DDO168_segment_structure_v6.csv
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35,26.177713485118655,444645724.9744822,35206597694.441414,34761951969.466934,1327921630.3298678,133.77833333333334,101.05,6.423333333333333,6,42.41,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.9299681453968179,0.5,0.0630747465220467,1.1167792909507306,0.0630747465220467,0.0,0.0,0.054330250680651095,0.696141961896481,0.0,6690.333633437176,1204.9159858811795,0.0,0.0,5686.783588421599,0.0,6690.333633437176,133.77833333333334,ESO563-G021_segment_structure_v6.csv
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35,123.061917647705,53413774949.71995,212118565278.51096,158704790328.79102,1289633652.4116461,237.24166715144466,270.8333333333333,5.251666666666668,6,42.41,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.9280385878490676,0.5,0.21044564961094084,1.2128658606640341,0.21044564961094084,0.0,0.0,0.054330250680651095,0.696141961896481,0.0,6306.286681545866,1135.778009131953,0.0,0.0,5360.343679313985,0.0,6306.286681545866,237.24166715144466,ESO563-G021_segment_structure_v6.csv
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35,330.6699055499206,241472075206.40982,385956725096.78186,144484649890.37204,436945266.1562498,278.4423539022395,314.6666666666667,13.983333333333334,6,42.41,-1.5819868695656207,2.4463045956520326,2.758412999994659,-0.3121084043426263,-0.5451969083076462,0.8137612782847401,0.5,0.417118604102806,1.2627827210061282,0.417118604102806,0.5451969083076462,0.8720403141189149,0.3946513248895163,0.07200578380288578,0.15697986581461795,4382.710257016393,789.2641045070261,0.6798743183076766,44.36935676760718,3725.3037184639343,44.36725889008539,4427.077515906479,279.8481753672616,ESO563-G021_segment_structure_v6.csv
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35,522.0808627478393,414032098918.601,398509622598.9384,1e-12,1.9154120967712843e-15,252.23871582961138,313.1666666666667,9.881666666666666,6,42.41,-3.0,1.9500000000000002,2.758412999994659,-0.8084129999946588,-0.49630459565203244,1.9154120967712844e-23,0.5,0.6585710917236501,1.0000000000004057,0.6585710917236501,0.44959838944457475,0.8489421388068226,0.8998498302256915,0.002481234976963767,0.0052660623205647945,2277.993904882615,410.03890305887063,0.8891011626511113,1.26434297200695,1936.2948191502226,1.2643427923142636,2279.2582476749294,252.30870547319762,ESO563-G021_segment_structure_v6.csv
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35,713.3048951828696,396669789075.10266,382575157918.20795,1e-12,1.4019250488160894e-15,209.86750819634457,316.8333333333333,9.916666666666666,6,42.41,0.0,3.0,2.758412999994659,0.24158700000534106,1.0499999999999998,1.4019250488160894e-23,0.5,0.899787785899552,1.0000000000004743,0.899787785899552,0.7914057632321625,0.9081943184491031,1.1608642785715801,0.00043546541012894584,0.0009887180284005427,1154.202594249024,207.75646714482434,0.6175774234800804,0.11414542505622376,981.0722051116704,0.11414542454117027,1154.3167396735653,209.8778854142171,ESO563-G021_segment_structure_v6.csv
IC4202,1,0.77,5.5,3.135,4.73,0.35,32.60968462037224,3282876490.7891593,54555844925.84128,51272968435.05212,1572323346.022806,185.46424308097198,141.28571428571428,3.8814285714285712,7,25.9,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.9402029516374184,0.5,0.12104247104247104,1.1635537496070154,0.12104247104247104,0.0,0.0,0.07601967974361945,0.6024215286781764,0.0,10971.925187112556,1975.660279268065,0.0,0.0,9326.136409045672,0.0,10971.925187112556,185.46424308097198,IC4202_segment_structure_v6.csv
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,0.35,72.07016180061143,62616475758.61854,140571648697.6012,77955172938.98267,1081656693.8569202,226.0905499053524,236.0,4.985,6,25.9,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.9153730516486979,0.5,0.3187258687258687,1.2583906437044945,0.3187258687258687,0.0,0.0,0.07601967974361945,0.6024215286781764,0.0,6192.239461720733,1115.195097002276,0.0,0.0,5263.403542462623,0.0,6192.239461720733,226.0905499053524,IC4202_segment_structure_v6.csv
IC4202,3,11.02,14.59,12.805,3.5700000000000003,0.35,100.53000672911404,153705474459.59113,191354646314.1521,37649171854.560974,374506807.2661092,242.07131385357616,243.16666666666666,6.103333333333333,6,25.9,-2.4159429021372136,2.1544199842519753,2.5890607066984446,-0.43464072244646923,-0.7103573881444634,0.7892548674356135,0.5,0.49440154440154443,1.2774771228194814,0.49440154440154443,0.7103573881444634,0.8987799681499579,0.6935201765002125,0.009818687284167831,0.0220620986113469,4576.221865739678,824.0682750436168,0.8387520829308299,9.631115216698799,3889.7885858787263,9.631095535324532,4585.852961275003,242.32591105601233,IC4202_segment_structure_v6.csv
