r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms,r_scale,sigma_scale
2.89,189.0,222.856756011569,10.0,NGC2683,7.68,203.92,89.57,12360.207612456748,NGC2683,NGC2683,Bizyaev_2014,,False,unique_to_2014,NED,,EON_133.173_33.421,NED,,133.172729,33.422428,r,48.08,0.55,21.58,1.48,0.4488352745424293,2.2279888785912885,19.92,0.08,0.096,9.33,0.25,SC,,,NED,thick_like,NED,NED,,133.172729,33.422428,,,NED,,True,coord_strict,NGC2683,45.0,0.0007352795597574,Bizyaev_2014,0.35,1,2.011652895387903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,222.856756011569,-33.85675601156899,-33.85675601156899,2.4831750476237224,0.4027102321912228
5.77,212.0,238.81344350768867,5.0,NGC2683,21.36,229.24,63.44,7789.254766031197,NGC2683,NGC2683,Bizyaev_2014,,False,unique_to_2014,NED,,EON_133.173_33.421,NED,,133.172729,33.422428,r,48.08,0.55,21.58,1.48,0.4488352745424293,2.2279888785912885,19.92,0.08,0.096,9.33,0.25,SC,,,NED,thick_like,NED,NED,,133.172729,33.422428,,,NED,,True,coord_strict,NGC2683,45.0,0.0007352795597574,Bizyaev_2014,0.35,1,2.011652895387903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,238.81344350768867,-26.813443507688675,-26.813443507688675,2.4831750476237224,0.4027102321912228
8.66,206.0,205.3138022637543,5.0,NGC2683,17.89,197.87,51.78,4900.230946882217,NGC2683,NGC2683,Bizyaev_2014,,False,unique_to_2014,NED,,EON_133.173_33.421,NED,,133.172729,33.422428,r,48.08,0.55,21.58,1.48,0.4488352745424293,2.2279888785912885,19.92,0.08,0.096,9.33,0.25,SC,,,NED,thick_like,NED,NED,,133.172729,33.422428,,,NED,,True,coord_strict,NGC2683,45.0,0.0007352795597574,Bizyaev_2014,0.35,1,2.011652895387903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,205.3138022637543,0.6861977362457026,0.6861977362457026,2.4831750476237224,0.4027102321912228
11.54,200.0,191.9199512817779,5.0,NGC2683,24.41,185.0,44.86,3466.2045060658584,NGC2683,NGC2683,Bizyaev_2014,,False,unique_to_2014,NED,,EON_133.173_33.421,NED,,133.172729,33.422428,r,48.08,0.55,21.58,1.48,0.4488352745424293,2.2279888785912885,19.92,0.08,0.096,9.33,0.25,SC,,,NED,thick_like,NED,NED,,133.172729,33.422428,,,NED,,True,coord_strict,NGC2683,45.0,0.0007352795597574,Bizyaev_2014,0.35,1,2.011652895387903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,191.9199512817779,8.080048718222088,8.080048718222088,2.4831750476237224,0.4027102321912228
17.31,190.0,150.1313458275786,10.0,NGC2683,25.8,143.29,36.63,2085.4997111496245,NGC2683,NGC2683,Bizyaev_2014,,False,unique_to_2014,NED,,EON_133.173_33.421,NED,,133.172729,33.422428,r,48.08,0.55,21.58,1.48,0.4488352745424293,2.2279888785912885,19.92,0.08,0.096,9.33,0.25,SC,,,NED,thick_like,NED,NED,,133.172729,33.422428,,,NED,,True,coord_strict,NGC2683,45.0,0.0007352795597574,Bizyaev_2014,0.35,2,2.002976747247724,0.00867614814017914,0.9786860281581582,7.527554655033396e-05,7.367112567078089e-05,0.001275247185361217,1.830461473764981e-11,1.780036182521912e-05,150.13134582757965,39.86865417242035,39.8686541724214,2.4831750476237224,0.4027102321912228
20.2,169.0,137.24746300023182,10.0,NGC2683,23.72,130.86,33.91,1413.9108910891089,NGC2683,NGC2683,Bizyaev_2014,,False,unique_to_2014,NED,,EON_133.173_33.421,NED,,133.172729,33.422428,r,48.08,0.55,21.58,1.48,0.4488352745424293,2.2279888785912885,19.92,0.08,0.096,9.33,0.25,SC,,,NED,thick_like,NED,NED,,133.172729,33.422428,,,NED,,True,coord_strict,NGC2683,45.0,0.0007352795597574,Bizyaev_2014,0.35,2,2.002976747247724,0.00867614814017914,0.9786860281581582,7.527554655033396e-05,7.367112567078089e-05,0.001275247185361217,1.3441631634133693e-11,1.647789303914492e-05,137.2474630002328,31.752536999767187,31.752536999768182,2.4831750476237224,0.4027102321912228
23.08,150.0,127.01034170491788,10.0,NGC2683,20.53,121.26,31.72,974.8700173310226,NGC2683,NGC2683,Bizyaev_2014,,False,unique_to_2014,NED,,EON_133.173_33.421,NED,,133.172729,33.422428,r,48.08,0.55,21.58,1.48,0.4488352745424293,2.2279888785912885,19.92,0.08,0.096,9.33,0.25,SC,,,NED,thick_like,NED,NED,,133.172729,33.422428,,,NED,,True,coord_strict,NGC2683,45.0,0.0007352795597574,Bizyaev_2014,0.35,2,2.002976747247724,0.00867614814017914,0.9786860281581582,7.527554655033396e-05,7.367112567078089e-05,0.001275247185361217,1.0296345789928018e-11,1.5415565537194495e-05,127.01034170491882,22.989658295081185,22.989658295082123,2.4831750476237224,0.4027102321912228
28.85,160.0,112.4125299955481,10.0,NGC2683,17.48,107.36,28.37,887.3483535528595,NGC2683,NGC2683,Bizyaev_2014,,False,unique_to_2014,NED,,EON_133.173_33.421,NED,,133.172729,33.422428,r,48.08,0.55,21.58,1.48,0.4488352745424293,2.2279888785912885,19.92,0.08,0.096,9.33,0.25,SC,,,NED,thick_like,NED,NED,,133.172729,33.422428,,,NED,,True,coord_strict,NGC2683,45.0,0.0007352795597574,Bizyaev_2014,0.35,2,2.002976747247724,0.00867614814017914,0.9786860281581582,7.527554655033396e-05,7.367112567078089e-05,0.001275247185361217,6.58966130555393e-12,1.3788100981107983e-05,112.41252999554895,47.58747000445105,47.5874700044519,2.4831750476237224,0.4027102321912228
31.74,155.0,106.83666692666895,10.0,NGC2683,16.5,102.03,27.05,756.9313169502205,NGC2683,NGC2683,Bizyaev_2014,,False,unique_to_2014,NED,,EON_133.173_33.421,NED,,133.172729,33.422428,r,48.08,0.55,21.58,1.48,0.4488352745424293,2.2279888785912885,19.92,0.08,0.096,9.33,0.25,SC,,,NED,thick_like,NED,NED,,133.172729,33.422428,,,NED,,True,coord_strict,NGC2683,45.0,0.0007352795597574,Bizyaev_2014,0.35,2,2.002976747247724,0.00867614814017914,0.9786860281581582,7.527554655033396e-05,7.367112567078089e-05,0.001275247185361217,5.444285397771425e-12,1.3145402942674105e-05,106.83666692666976,48.163333073330236,48.163333073331046,2.4831750476237224,0.4027102321912228
34.62,151.0,102.08162910142059,12.0,NGC2683,15.67,97.49,25.9,658.6077411900636,NGC2683,NGC2683,Bizyaev_2014,,False,unique_to_2014,NED,,EON_133.173_33.421,NED,,133.172729,33.422428,r,48.08,0.55,21.58,1.48,0.4488352745424293,2.2279888785912885,19.92,0.08,0.096,9.33,0.25,SC,,,NED,thick_like,NED,NED,,133.172729,33.422428,,,NED,,True,coord_strict,NGC2683,45.0,0.0007352795597574,Bizyaev_2014,0.35,2,2.002976747247724,0.00867614814017914,0.9786860281581582,7.527554655033396e-05,7.367112567078089e-05,0.001275247185361217,4.576153684412452e-12,1.258675655418659e-05,102.08162910142137,48.91837089857863,48.91837089857941,2.4831750476237224,0.4027102321912228
