r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,sigma_desc_i,beta_i,omega_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,a_i,psi_i,g_scale_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
1.74,96.4,148.01974530446944,12.1,NGC4157,5.73,129.95,70.64,5340.781609195403,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,1,0.35,3.355936162541273,3.355936162541273,0.0,0.0,0.0,1.0,1.1819828515889,0.9484980026126395,0.5,0.14724755150287067,0.14724755150287067,0.5818855165060808,10689.25453715862,0.0,12591.864942528737,12591.864942528737,148.01974530446944,-51.61974530446943,-51.61974530446943
3.5,157.0,223.45501605468607,10.5,NGC4157,16.49,217.21,49.8,7042.571428571428,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,1,0.35,3.355936162541273,3.355936162541273,0.0,0.0,0.0,1.0,1.1819828515889,0.9484980026126395,0.5,0.14724755150287067,0.14724755150287067,0.5818855165060808,10689.25453715862,0.0,14266.326914285717,14266.326914285717,223.45501605468607,-66.45501605468607,-66.45501605468607
5.24,192.0,242.04169165662347,8.4,NGC4157,21.44,237.63,40.7,7035.114503816793,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,1,0.35,3.355936162541273,3.355936162541273,0.0,0.0,0.0,1.0,1.1819828515889,0.9484980026126395,0.5,0.14724755150287067,0.14724755150287067,0.5818855165060808,10689.25453715862,0.0,11180.18711832061,11180.18711832061,242.04169165662347,-50.04169165662347,-50.04169165662347
8.72,201.0,254.82678999665637,7.3,NGC4157,30.5,251.02,31.55,4633.142201834862,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,2,0.35,3.0,3.355936162541273,-0.35593616254127314,-1.0,-0.46078751736371515,1.0,1.0000000000003093,7.688678022846254e-23,0.5,0.38264099966227627,0.38264099966227627,0.8962737435960273,4551.754176269231,-802.5479827432112,7446.868451834863,6644.320469091652,240.70412229639777,-39.70412229639777,-53.82678999665637
10.47,194.0,236.26904007931296,6.4,NGC4157,41.92,230.73,28.8,3594.6513849092644,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,2,0.35,3.0,3.355936162541273,-0.35593616254127314,-1.0,-0.46078751736371515,1.0,1.0000000000003093,7.688678022846254e-23,0.5,0.38264099966227627,0.38264099966227627,0.8962737435960273,4551.754176269231,-802.5479827432112,5331.7153104106965,4529.167327667486,217.76221417105074,-23.762214171050744,-42.26904007931296
12.19,190.0,216.51426142404569,6.0,NGC4157,51.62,208.57,26.69,2961.443806398688,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,2,0.35,3.0,3.355936162541273,-0.35593616254127314,-1.0,-0.46078751736371515,1.0,1.0000000000003093,7.688678022846254e-23,0.5,0.38264099966227627,0.38264099966227627,0.8962737435960273,4551.754176269231,-802.5479827432112,3845.64605414274,3043.0980713995286,192.60157187925608,-2.6015718792560847,-26.514261424045685
15.68,184.0,187.18058499748312,6.4,NGC4157,48.39,179.28,23.53,2159.183673469388,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,3,0.35,3.0,3.355936162541273,-0.35593616254127314,-1.0,-0.46078751736371515,1.0,1.000000000000393,4.762860688838057e-23,0.5,0.6176967240797028,0.6176967240797028,0.9742159707488347,1650.9625083664594,-469.9084067656648,2234.475216836735,1764.5668100710702,166.33823247201582,17.661767527984182,-3.1805849974831233
17.42,182.0,178.4644572456936,7.3,NGC4157,52.05,169.24,22.32,1901.4925373134329,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,3,0.35,3.0,3.355936162541273,-0.35593616254127314,-1.0,-0.46078751736371515,1.0,1.000000000000393,4.762860688838057e-23,0.5,0.6176967240797028,0.6176967240797028,0.9742159707488347,1650.9625083664594,-469.9084067656648,1828.3330941446613,1358.4246873789966,153.830289781116,28.169710218884006,3.535542754306391
19.16,181.0,169.2039024372665,6.6,NGC4157,50.54,160.07,21.29,1709.8643006263048,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,3,0.35,3.0,3.355936162541273,-0.35593616254127314,-1.0,-0.46078751736371515,1.0,1.000000000000393,4.762860688838057e-23,0.5,0.6176967240797028,0.6176967240797028,0.9742159707488347,1650.9625083664594,-469.9084067656648,1494.2568162839248,1024.34840951826,140.09466630236093,40.905333697639065,11.796097562733507
22.65,185.0,155.37222821341015,6.5,NGC4157,52.27,145.0,19.58,1511.037527593819,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,4,0.35,3.0,3.355936162541273,-0.35593616254127314,-1.0,-0.46078751736371515,1.0,1.0000000000004696,2.500365154961194e-23,0.5,0.8824721377912867,0.8824721377912867,0.9946250177107656,789.1799426907993,-320.90593329430766,1065.807033112583,744.9010998182753,129.8923011994319,55.1076988005681,29.627771786589847
