galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,volume_kpc3,m_enc_inner_msun,m_enc_outer_msun,m_shell_msun,mu_shell_msun_per_kpc3,v_bar_internal_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,delta_d_eff_i,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,g_bar_internal_km2s2_per_kpc,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_segment_kms
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35,26.177713485118655,444645724.9744822,35206597694.441414,34761951969.466934,1327921630.3298678,133.77833333333334,101.05,6.423333333333333,6,42.41,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9299681453968179,0.5,0.0630747465220467,1.1167792909507306,0.0630747465220467,6690.333633437176,1204.9159858811795,0.6509593294438544,63.51017746142723,5686.783588421599,63.50753715912233,6753.841170596298,134.41177452643464
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35,123.061917647705,53413774949.71995,212118565278.51096,158704790328.79102,1289633652.4116461,237.24166715144466,270.8333333333333,5.251666666666668,6,42.41,-0.02428141725805994,2.991501503959679,2.758412999994659,0.2330885039650199,0.0,0.2330885039650199,1.1495022837939886,0.9280385878490676,0.5,0.21044564961094084,1.2128658606640341,0.21044564961094084,6306.286681545866,1135.778009131953,0.6509593294438544,216.92513374517554,5360.343679313985,216.80679180265946,6523.093473348525,241.28532746446805
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35,330.6699055499206,241472075206.40982,385956725096.78186,144484649890.37204,436945266.1562498,278.4423539022395,314.6666666666667,13.983333333333334,6,42.41,-1.5819868695656207,2.4463045956520326,2.758412999994659,-0.3121084043426263,-0.5451969083076462,0.8573053126502725,0.14350381717311256,0.8137612782847401,0.5,0.417118604102806,1.2627827210061282,0.417118604102806,4382.710257016393,789.2641045070261,0.9934317713146267,59.266876755716204,3725.3037184639343,59.26187701444213,4441.972134030835,280.31854567795807
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35,522.0808627478393,414032098918.601,398509622598.9384,1e-12,1.9154120967712843e-15,252.23871582961138,313.1666666666667,9.881666666666666,6,42.41,-3.0,1.9500000000000002,2.758412999994659,-0.8084129999946588,-0.49630459565203244,1.3047175956466912,0.03229742025267257,1.9154120967712844e-23,0.5,0.6585710917236501,1.0000000000004057,0.6585710917236501,2277.993904882615,410.03890305887063,0.9996662562281547,8.7186770975841,1936.2948191502226,8.718618174694456,2286.712523057309,252.72095435280124
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35,713.3048951828696,396669789075.10266,382575157918.20795,1e-12,1.4019250488160894e-15,209.86750819634457,316.8333333333333,9.916666666666666,6,42.41,0.0,3.0,2.758412999994659,0.24158700000534106,1.0499999999999998,1.2915870000053409,0.03374242713103054,1.4019250488160894e-23,0.5,0.899787785899552,1.0000000000004743,0.899787785899552,1154.202594249024,207.75646714482434,0.9996357299140523,6.305401337332709,981.0722051116704,6.305314519722003,1160.5079087687461,210.43997196021328
