r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,delta_d_eff_i,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
0.77,35.1,135.41353846643253,3.96,IC4202,2.22,20.98,133.76,1600.012987012987,IC4202,IC4202,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,IC04202,RFGC2477,EON_197.132_24.701,IC04202,IC04202,197.131577,24.700766,r,13.3,0.08,3.44,0.16,0.2586466165413533,3.866279069767442,21.28,0.11,0.041,13.66,0.16,SB,7130.0,IC4202,NED,thick_like,IC04202,IC04202,IC4202,197.131577,24.700766,IC4202,IC4202,NED,,True,name_exact,IC4202,30.0,0.0,Bizyaev_2014,1,0.35,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.27571666569799413,0.9972389981435203,0.9402029516374184,0.5,0.12104247104247104,1.1635537496070154,0.12104247104247104,1975.660279268065,0.7254503158229345,201.2998389325976,9326.136409045672,201.268583567592,23814.06025974026,24015.328843307852,135.98456974725863,-100.88456974725864,-100.31353846643253
1.59,77.9,181.3490504524355,3.95,IC4202,3.89,40.96,176.62,3816.610062893082,IC4202,IC4202,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,IC04202,RFGC2477,EON_197.132_24.701,IC04202,IC04202,197.131577,24.700766,r,13.3,0.08,3.44,0.16,0.2586466165413533,3.866279069767442,21.28,0.11,0.041,13.66,0.16,SB,7130.0,IC4202,NED,thick_like,IC04202,IC04202,IC4202,197.131577,24.700766,IC4202,IC4202,NED,,True,name_exact,IC4202,30.0,0.0,Bizyaev_2014,1,0.35,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.27571666569799413,0.9972389981435203,0.9402029516374184,0.5,0.12104247104247104,1.1635537496070154,0.12104247104247104,1975.660279268065,0.7254503158229345,201.2998389325976,9326.136409045672,201.268583567592,20683.948490566036,20885.217074133627,182.22923790619458,-104.32923790619458,-103.4490504524355
2.36,115.0,186.30282982284513,6.7,IC4202,4.02,58.24,176.92,5603.813559322034,IC4202,IC4202,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,IC04202,RFGC2477,EON_197.132_24.701,IC04202,IC04202,197.131577,24.700766,r,13.3,0.08,3.44,0.16,0.2586466165413533,3.866279069767442,21.28,0.11,0.041,13.66,0.16,SB,7130.0,IC4202,NED,thick_like,IC04202,IC04202,IC4202,197.131577,24.700766,IC4202,IC4202,NED,,True,name_exact,IC4202,30.0,0.0,Bizyaev_2014,1,0.35,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.27571666569799413,0.9972389981435203,0.9402029516374184,0.5,0.12104247104247104,1.1635537496070154,0.12104247104247104,1975.660279268065,0.7254503158229345,201.2998389325976,9326.136409045672,201.268583567592,14707.095084745759,14908.36366831335,187.57328769635484,-72.57328769635484,-71.30282982284513
3.13,156.0,188.001365154618,3.16,IC4202,0.9,74.68,172.53,7775.079872204473,IC4202,IC4202,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,IC04202,RFGC2477,EON_197.132_24.701,IC04202,IC04202,197.131577,24.700766,r,13.3,0.08,3.44,0.16,0.2586466165413533,3.866279069767442,21.28,0.11,0.041,13.66,0.16,SB,7130.0,IC4202,NED,thick_like,IC04202,IC04202,IC4202,197.131577,24.700766,IC4202,IC4202,NED,,True,name_exact,IC4202,30.0,0.0,Bizyaev_2014,1,0.35,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.27571666569799413,0.9972389981435203,0.9402029516374184,0.5,0.12104247104247104,1.1635537496070154,0.12104247104247104,1975.660279268065,0.7254503158229345,201.2998389325976,9326.136409045672,201.268583567592,11292.176773162944,11493.445356730535,189.6694070391073,-33.66940703910731,-32.001365154617986
3.95,192.0,196.11701252058683,3.14,IC4202,0.0,91.45,173.49,9332.6582278481,IC4202,IC4202,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,IC04202,RFGC2477,EON_197.132_24.701,IC04202,IC04202,197.131577,24.700766,r,13.3,0.08,3.44,0.16,0.2586466165413533,3.866279069767442,21.28,0.11,0.041,13.66,0.16,SB,7130.0,IC4202,NED,thick_like,IC04202,IC04202,IC4202,197.131577,24.700766,IC4202,IC4202,NED,,True,name_exact,IC4202,30.0,0.0,Bizyaev_2014,1,0.35,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.27571666569799413,0.9972389981435203,0.9402029516374184,0.5,0.12104247104247104,1.1635537496070154,0.12104247104247104,1975.660279268065,0.7254503158229345,201.2998389325976,9326.136409045672,201.268583567592,9737.185468354433,9938.454051922025,198.1335244351445,-6.133524435144494,-4.117012520586826
4.73,204.0,204.51862726900941,2.9,IC4202,0.0,107.35,174.08,8798.30866807611,IC4202,IC4202,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,IC04202,RFGC2477,EON_197.132_24.701,IC04202,IC04202,197.131577,24.700766,r,13.3,0.08,3.44,0.16,0.2586466165413533,3.866279069767442,21.28,0.11,0.041,13.66,0.16,SB,7130.0,IC4202,NED,thick_like,IC04202,IC04202,IC4202,197.131577,24.700766,IC4202,IC4202,NED,,True,name_exact,IC4202,30.0,0.0,Bizyaev_2014,1,0.35,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.27571666569799413,0.9972389981435203,0.9402029516374184,0.5,0.12104247104247104,1.1635537496070154,0.12104247104247104,1975.660279268065,0.7254503158229345,201.2998389325976,9326.136409045672,201.268583567592,8843.101247357294,9044.369830924885,206.83295022861978,-2.8329502286197794,-0.5186272690094142
6.27,220.0,207.24817610777666,3.25,IC4202,0.0,132.68,159.21,7719.298245614035,IC4202,IC4202,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,IC04202,RFGC2477,EON_197.132_24.701,IC04202,IC04202,197.131577,24.700766,r,13.3,0.08,3.44,0.16,0.2586466165413533,3.866279069767442,21.28,0.11,0.041,13.66,0.16,SB,7130.0,IC4202,NED,thick_like,IC04202,IC04202,IC4202,197.131577,24.700766,IC4202,IC4202,NED,,True,name_exact,IC4202,30.0,0.0,Bizyaev_2014,2,0.35,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.27571666569799413,0.9972389981435203,0.9153730516486979,0.5,0.3187258687258687,1.2583906437044945,0.3187258687258687,1115.195097002276,0.7254503158229345,323.58663316786846,5263.403542462623,323.17957071122754,6850.367862838917,7173.547433550145,212.08050926089226,7.919490739107744,12.751823892223342
7.08,231.0,213.0514801638327,3.49,IC4202,0.0,150.86,150.44,7536.864406779661,IC4202,IC4202,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,IC04202,RFGC2477,EON_197.132_24.701,IC04202,IC04202,197.131577,24.700766,r,13.3,0.08,3.44,0.16,0.2586466165413533,3.866279069767442,21.28,0.11,0.041,13.66,0.16,SB,7130.0,IC4202,NED,thick_like,IC04202,IC04202,IC4202,197.131577,24.700766,IC4202,IC4202,NED,,True,name_exact,IC4202,30.0,0.0,Bizyaev_2014,2,0.35,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.27571666569799413,0.9972389981435203,0.9153730516486979,0.5,0.3187258687258687,1.2583906437044945,0.3187258687258687,1115.195097002276,0.7254503158229345,323.58663316786846,5263.403542462623,323.17957071122754,6411.148757062147,6734.328327773374,218.35531722546966,12.644682774530338,17.948519836167293
7.86,235.0,222.65660376463126,4.65,IC4202,0.24,170.8,142.84,7026.081424936387,IC4202,IC4202,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,IC04202,RFGC2477,EON_197.132_24.701,IC04202,IC04202,197.131577,24.700766,r,13.3,0.08,3.44,0.16,0.2586466165413533,3.866279069767442,21.28,0.11,0.041,13.66,0.16,SB,7130.0,IC4202,NED,thick_like,IC04202,IC04202,IC4202,197.131577,24.700766,IC4202,IC4202,NED,,True,name_exact,IC4202,30.0,0.0,Bizyaev_2014,2,0.35,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.27571666569799413,0.9972389981435203,0.9153730516486979,0.5,0.3187258687258687,1.2583906437044945,0.3187258687258687,1115.195097002276,0.7254503158229345,323.58663316786846,5263.403542462623,323.17957071122754,6307.374452926209,6630.554023637437,228.2896288178468,6.71037118215321,12.343396235368743
8.66,245.0,231.89626344553292,6.0,IC4202,0.0,187.59,136.33,6931.293302540415,IC4202,IC4202,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,IC04202,RFGC2477,EON_197.132_24.701,IC04202,IC04202,197.131577,24.700766,r,13.3,0.08,3.44,0.16,0.2586466165413533,3.866279069767442,21.28,0.11,0.041,13.66,0.16,SB,7130.0,IC4202,NED,thick_like,IC04202,IC04202,IC4202,197.131577,24.700766,IC4202,IC4202,NED,,True,name_exact,IC4202,30.0,0.0,Bizyaev_2014,2,0.35,-0.38635036458160393,2.8647773723964387,2.5890607066984446,0.27571666569799413,0.0,0.27571666569799413,0.9972389981435203,0.9153730516486979,0.5,0.3187258687258687,1.2583906437044945,0.3187258687258687,1115.195097002276,0.7254503158229345,323.58663316786846,5263.403542462623,323.17957071122754,6209.685565819862,6532.86513653109,237.85418239408622,7.145817605913777,13.103736554467076
