galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,use_dimension_proxy,d_eff_proxy,d_eff_ratio,d_eff_g_hat,d_eff_sigma_hat,d_eff_delta,d_eff_boost,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,formula_d_ref,formula_dim_sensitivity,formula_dim_g_power,formula_dim_sigma_power,formula_d_min,formula_d_max,formula_dim_boost_lambda,formula_dim_transition,formula_dim_boost_max,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
ESO116-G012,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO116-G012_normalized.csv,formula,,1756.8388255809161,2000.0,2000.0,False,True,0.8784194127904581,7.224997287408375,,,gbar_char_logmean,sigma_char_rms,1185.491162227603,908.1374332486461,0.6204855114370057,0.6528529504902243,0.7001095273227764,15,True,2.4908347346958375,0.820330283694066,1.6186072194981413,1.3277925195601736,0.5091652653041625,1.762135223384381,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,24.386988406966076,20.5884484847066,0.22606545574643827,0.24773371804795807,1411.3746274498953,100.81247338927824,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\ESO116-G012_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\ESO116-G012_rotation_curve.png,ok,
ESO444-G084,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO444-G084_normalized.csv,formula,,1536.1946256567462,2000.0,2000.0,False,True,0.7680973128283731,3.3121535683625702,,,gbar_char_logmean,sigma_char_rms,303.16933701657456,228.23036697311002,1.3127850704659483,1.2116084557177462,1.3473954153102279,7,True,1.5,6.281971634178921,0.40678349572034533,2.555402381367352,1.5,1.8496780098954972,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,11.724539406843578,7.380639118766637,0.2974749762854373,0.038420755266723734,259.6987708503568,43.28312847505947,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\ESO444-G084_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\ESO444-G084_rotation_curve.png,ok,
ESO563-G021,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO563-G021_normalized.csv,formula,,1895.485169805371,2000.0,2000.0,False,True,0.9477425849026855,18.13604027558165,,,gbar_char_logmean,sigma_char_rms,4465.040597400861,3618.810794657943,0.33397773508136264,0.2766747164513247,0.41398803948387675,25,True,2.902358975161724,0.12172961580414352,6.449941455752546,0.7851488953679755,0.09764102483827619,1.2311622250036327,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,61.164241975073146,53.913610925507754,0.3099200417562706,0.15026548853427374,1707.549639701919,58.88102205868686,30,30,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\ESO563-G021_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\ESO563-G021_rotation_curve.png,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F561-1_normalized.csv,formula,,380.31691151528753,498.58908700475547,498.58908700475547,False,False,0.19015845575764376,0.23480946008462145,,,gbar_char_logmean,sigma_char_rms,372.01707452824746,403.2332228873243,0.038701691740041504,0.009323604816251328,0.06484948053828328,3,True,2.865726733225001,0.17112936111113522,0.7186976131708744,0.12299026337402955,0.13427326677499885,1.3109832140207465,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.305792457961287,3.5610310283783395,0.0941358972971759,0.07395456651570444,3.481517060529083,0.6963034121058166,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\F561-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\F561-1_rotation_curve.png,ok,
F563-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-1_normalized.csv,formula,,1397.5997042563013,2000.0,2000.0,False,True,0.6987998521281507,2.320051490895904,,,gbar_char_logmean,sigma_char_rms,156.14697624190066,171.2162577136761,1.2594278604949203,1.3468739670279184,1.2892466747843188,17,True,1.5,8.012450395819718,0.3051651222430475,2.445120404506678,1.5,1.8496780098954972,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,32.72833498386437,29.80144528108758,0.3210766135439583,0.3464639071768835,151.06574412210242,9.441609007631401,17,17,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\F563-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\F563-1_rotation_curve.png,ok,
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V1_normalized.csv,formula,,188.6551030442793,323.24384280156664,323.24384280156664,False,False,0.09432755152213965,0.10415194994688584,,,gbar_char_logmean,sigma_char_rms,140.38075087800775,141.50315236362601,0.050165344711474796,0.008380520684093614,0.08667838923335916,3,True,2.5734106117505977,0.6518070468155508,0.25220634632159294,0.16438987378401754,0.4265893882494023,1.713411604485981,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,1.624428792031366,1.1205205485470573,0.04156113542031567,0.032794962279652055,0.6333045360913159,0.12666090721826317,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\F563-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\F563-V1_rotation_curve.png,ok,
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,formula,,1667.0918966854038,2000.0,2000.0,False,True,0.8335459483427019,5.007663917120131,,,gbar_char_logmean,sigma_char_rms,366.5083344301131,378.2239546562029,1.1907874288982385,1.195319293617782,1.1948318771682975,10,True,1.7481078965698618,3.3614921686652797,0.6741226615928404,2.2660580476641274,1.2518921034301382,1.8486716564915378,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,34.75696855017585,31.69782485801329,0.5708377744245436,0.37537505989349,84.7963469907073,9.421816332300812,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\F563-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\F563-V2_rotation_curve.png,ok,
F565-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F565-V2_normalized.csv,formula,,1242.0008577858744,2000.0,2000.0,False,True,0.6210004288929372,1.6385254133111191,,,gbar_char_logmean,sigma_char_rms,136.88976127320953,139.5307608032617,1.1320210502527925,1.208600557989268,1.1443180664208128,7,True,1.5,8.726721707532066,0.24869087927618952,2.1702560946447593,1.5,1.8496780098954972,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,16.030038887892935,14.580859462167238,0.3007403456960888,0.21503444033670985,43.444064391968695,7.240677398661449,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\F565-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\F565-V2_rotation_curve.png,ok,
F567-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F567-2_normalized.csv,formula,,973.8766619219672,1792.6956224108153,1792.6956224108153,False,False,0.4869383309609836,0.9490834344983075,,,gbar_char_logmean,sigma_char_rms,188.49739130434784,230.43002560555695,0.3831539275222871,0.41238841939082466,0.4167026836261424,5,True,2.087917580000868,1.9242503030305982,0.4107040293450563,0.7902973529231122,0.9120824199991322,1.8407830195590587,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,2.1611657800410744,2.0556355781456963,0.046698483531221024,0.042101299183512575,0.4596914491337416,0.1149228622834354,5,5,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\F567-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\F567-2_rotation_curve.png,ok,
F568-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-1_normalized.csv,formula,,1703.5182801782137,2000.0,2000.0,False,True,0.8517591400891068,5.745778462166875,,,gbar_char_logmean,sigma_char_rms,399.4879274891775,429.953722685291,1.1570182151197246,1.2134716533051737,1.1946595292101243,12,True,1.8309165476504268,2.956628591563172,0.7663225565969712,2.265731181194392,1.1690834523495732,1.8478688701879584,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,41.21328748665181,37.18924831057999,0.38910209335395907,0.3972115979461457,167.8158833065741,15.255989391506738,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\F568-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\F568-1_rotation_curve.png,ok,
F568-3,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-3_normalized.csv,formula,,1504.2708155641812,2000.0,2000.0,False,True,0.7521354077820906,3.034460876609813,,,gbar_char_logmean,sigma_char_rms,432.68924740271166,381.98158064632844,0.6843477045109448,0.7832789007911989,0.7420114200931824,17,True,2.0474024257276677,2.067009640895244,0.6808200185490817,1.4072615420554309,0.9525975742723323,1.8426796843102964,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,1.5,4.5,0.85,0.35,2.5,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,22.33277888635934,18.271356343122015,0.2089512882247999,0.24298629224849477,109.3716318541113,6.433625403183018,18,18,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\tables\F568-3_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_165341_formula\figures\F568-3_rotation_curve.png,ok,
