r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms,r_scale,sigma_scale
0.87,20.9,19.68121185293223,4.7,UGC07089,4.05,19.26,0.0,502.0804597701149,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,1,2.046092605687848,0.0,1.0,0.04609260568784812,0.04609260568784812,0.12122355295904055,6.888249321668213e-07,0.0007741302803696123,19.681211868156844,1.218788131843155,1.2187881470677695,2.3541082460195466,0.4247893025696053
1.74,36.4,34.07028323921009,3.9,UGC07089,8.89,32.89,0.0,761.4712643678159,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,1,2.046092605687848,0.0,1.0,0.04609260568784812,0.04609260568784812,0.12122355295904055,1.7220623304170533e-07,0.0005473927707711962,34.070283243607456,2.3297167563925427,2.329716760789907,2.3541082460195466,0.4247893025696053
2.61,43.4,44.03643264389158,3.9,UGC07089,12.07,42.35,0.0,721.6704980842912,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,1,2.046092605687848,0.0,1.0,0.04609260568784812,0.04609260568784812,0.12122355295904055,7.653610357409127e-08,0.00044694432575923616,44.036432646159696,-0.6364326461596974,-0.636432643891581,2.3541082460195466,0.4247893025696053
4.37,59.7,52.13794971035973,3.9,UGC07089,14.33,50.13,0.0,815.5812356979405,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,2,2.0150102292409753,0.03108237644687284,0.9294416228393915,0.04609260568784812,0.042840386231409726,0.21461559494351373,4.8334669943734715e-08,0.0004595894990685935,52.137949712385335,7.562050287614667,7.5620502896402755,2.3541082460195466,0.4247893025696053
5.24,64.5,53.93761303580276,4.4,UGC07089,18.1,50.81,0.0,793.9408396946565,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,2,2.0150102292409753,0.03108237644687284,0.9294416228393915,0.04609260568784812,0.042840386231409726,0.21461559494351373,3.3617007984984394e-08,0.0004197059945263091,53.937613037435696,10.562386962564304,10.562386964197238,2.3541082460195466,0.4247893025696053
6.11,67.9,54.11803119109194,3.9,UGC07089,21.23,49.78,0.0,754.5679214402619,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,2,2.0150102292409753,0.03108237644687284,0.9294416228393915,0.04609260568784812,0.042840386231409726,0.21461559494351373,2.4725165700523344e-08,0.0003886782247955211,54.118031192487685,13.781968807512321,13.781968808908069,2.3541082460195466,0.4247893025696053
6.98,70.3,54.096145888593576,6.1,UGC07089,23.49,48.73,0.0,708.035816618911,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,3,2.009372260474542,0.00563796876643341,0.9868153010082664,0.015010229240975281,0.014812323886636105,0.24690646101638045,2.1796259210719958e-08,0.0003900485729890898,54.096145889999754,16.203854110000243,16.20385411140642,2.3541082460195466,0.4247893025696053
7.85,73.7,53.82706010920529,6.1,UGC07089,25.32,47.5,0.0,691.9350318471338,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,3,2.009372260474542,0.00563796876643341,0.9868153010082664,0.015010229240975281,0.014812323886636105,0.24690646101638045,1.7232706677755052e-08,0.0003677998741440475,53.82706011046188,19.872939889538124,19.87293989079471,2.3541082460195466,0.4247893025696053
8.72,77.6,53.22826692651189,6.1,UGC07089,26.4,46.22,0.0,690.5688073394494,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,3,2.009372260474542,0.00563796876643341,0.9868153010082664,0.015010229240975281,0.014812323886636105,0.24690646101638045,1.3965607735696182e-08,0.00034897005524152174,53.22826692765584,24.371733072344156,24.3717330734881,2.3541082460195466,0.4247893025696053
9.16,79.1,52.60427739262274,7.3,UGC07089,26.4,45.5,0.0,683.0578602620087,UGC07089,UGC7089,Bizyaev_2014,,False,unique_to_2014,NGC04111,,EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,0.35,3,2.009372260474542,0.00563796876643341,0.9868153010082664,0.015010229240975281,0.014812323886636105,0.24690646101638045,1.2656157243973712e-08,0.0003404855361903046,52.60427739372465,26.495722606275343,26.495722607377253,2.3541082460195466,0.4247893025696053
