galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC0289,1.5,164.0,28.2,3.86,179.05,0.0,17930.666666666668
NGC0289,2.52,194.0,32.0,5.64,226.49,0.0,14934.920634920634
NGC0289,3.46,175.0,25.2,6.85,215.85,0.0,8851.156069364162
NGC0289,4.32,185.0,31.5,7.4,220.68,0.0,7922.4537037037035
NGC0289,5.43,175.0,27.9,6.0,221.66,0.0,5639.963167587477
NGC0289,6.38,167.0,27.2,4.74,211.57,0.0,4371.316614420063
NGC0289,7.57,176.0,7.18,7.37,198.06,0.0,4091.9418758256274
NGC0289,10.6,185.0,4.29,21.99,170.85,0.0,3228.7735849056603
NGC0289,13.57,183.0,4.22,32.44,151.82,0.0,2467.870302137067
NGC0289,16.64,172.0,4.33,38.81,136.17,0.0,1777.8846153846152
NGC0289,19.71,161.0,4.24,42.5,127.01,0.0,1315.1192288178588
NGC0289,22.68,156.0,5.08,49.56,119.49,0.0,1073.015873015873
NGC0289,25.75,159.0,6.49,54.94,111.5,0.0,981.7864077669902
NGC0289,28.72,173.0,6.97,55.53,105.68,0.0,1042.0961002785516
NGC0289,31.79,177.0,6.57,60.71,100.59,0.0,985.4985844605222
NGC0289,34.77,179.0,4.47,65.78,96.09,0.0,921.512798389416
NGC0289,37.84,181.0,4.26,67.48,92.02,0.0,865.7769556025369
NGC0289,40.81,182.0,4.26,68.67,88.49,0.0,811.663807890223
NGC0289,43.88,182.0,4.83,68.27,85.15,0.0,754.876937101185
NGC0289,46.85,180.0,5.5,67.18,82.29,0.0,691.5688367129135
NGC0289,49.92,177.0,8.5,65.98,79.64,0.0,627.5841346153846
NGC0289,52.99,175.0,11.0,65.09,77.21,0.0,577.9392338177014
NGC0289,55.96,172.0,11.6,64.29,75.06,0.0,528.6633309506791
NGC0289,59.03,168.0,12.6,62.6,72.97,0.0,478.1297645265119
NGC0289,62.0,158.0,5.38,59.81,71.15,0.0,402.64516129032256
NGC0289,65.07,158.0,6.5,57.13,69.42,0.0,383.6483786691256
NGC0289,68.05,166.0,15.5,55.14,67.85,0.0,404.9375459221161
NGC0289,71.12,165.0,8.75,53.24,66.34,0.0,382.8037120359955
