r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms,r_scale,sigma_scale
1.74,84.9,137.12,11.3,NGC4088,0.0,137.12,0.0,4142.534482758621,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,1,2.0239713525938265,0.0,1.0,0.023971352593826545,0.023971352593826545,0.1256098875916511,1.784373172287647e-07,0.0005572081585709694,137.12000000113215,-52.22000000113215,-52.22,2.513237156414226,0.3978932101365058
3.5,136.0,180.27,9.9,NGC4088,0.0,180.27,0.0,5284.571428571428,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,1,2.0239713525938265,0.0,1.0,0.023971352593826545,0.023971352593826545,0.1256098875916511,4.410096503198433e-08,0.0003928783241818581,180.27000000042813,-44.270000000428126,-44.27000000000001,2.513237156414226,0.3978932101365058
5.24,162.0,241.53337243536348,8.0,NGC4088,16.92,240.94,0.0,5008.396946564885,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,1,2.0239713525938265,0.0,1.0,0.023971352593826545,0.023971352593826545,0.1256098875916511,1.9675311084792844e-08,0.00032108975393854364,241.53337243557692,-79.53337243557692,-79.53337243536348,2.513237156414226,0.3978932101365058
8.72,182.0,247.18580076533524,6.1,NGC4088,42.24,243.55,0.0,3798.6238532110087,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,2,2.007285148478932,0.016686204114894743,0.9589307779634051,0.023971352593826545,0.022986867791633177,0.24560133746397625,1.3891786890731391e-08,0.0003480465223029498,247.18580076558027,-65.18580076558027,-65.18580076533524,2.513237156414226,0.3978932101365058
10.47,179.0,235.3753226232521,7.0,NGC4088,48.71,230.28,0.0,3060.2674307545367,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,2,2.007285148478932,0.016686204114894743,0.9589307779634051,0.023971352593826545,0.022986867791633177,0.24560133746397625,9.636020579216095e-09,0.0003176305014704862,235.3753226234664,-56.37532262346639,-56.37532262325209,2.513237156414226,0.3978932101365058
12.19,174.0,225.54851761871547,6.2,NGC4088,53.67,219.07,0.0,2483.6751435602955,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,2,2.007285148478932,0.016686204114894743,0.9589307779634051,0.023971352593826545,0.022986867791633177,0.24560133746397625,7.108593350109391e-09,0.0002943700951826348,225.54851761890757,-51.54851761890757,-51.548517618715465,2.513237156414226,0.3978932101365058
15.68,168.0,192.1140338444852,6.1,NGC4088,54.64,184.18,0.0,1800.0,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,3,2.0039955230193893,0.003289625459542478,0.9917664737510289,0.007285148478931802,0.007225166017702865,0.2875073003666529,5.029410854282481e-09,0.00028082229647082745,192.11403384469045,-24.114033844690454,-24.114033844485192,2.513237156414226,0.3978932101365058
17.42,165.0,181.09665319933444,5.6,NGC4088,53.77,172.93,0.0,1562.8587830080369,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,3,2.0039955230193893,0.003289625459542478,0.9917664737510289,0.007285148478931802,0.007225166017702865,0.2875073003666529,4.0748622313450655e-09,0.00026642841453199215,181.09665319953044,-16.096653199530436,-16.09665319933444,2.513237156414226,0.3978932101365058
19.28,171.0,170.92076205072337,8.6,NGC4088,52.37,162.7,0.0,1516.649377593361,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,3,2.0039955230193893,0.003289625459542478,0.9917664737510289,0.007285148478931802,0.007225166017702865,0.2875073003666529,3.3265585540558147e-09,0.000253250960357895,170.92076205091098,0.07923794908901982,0.07923794927663153,2.513237156414226,0.3978932101365058
21.48,174.0,160.49922741247073,7.6,NGC4088,50.22,152.44,0.0,1409.4972067039105,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,3,2.0039955230193893,0.003289625459542478,0.9917664737510289,0.007285148478931802,0.007225166017702865,0.2875073003666529,2.680036305956823e-09,0.00023993161494882778,160.49922741265007,13.500772587349928,13.50077258752927,2.513237156414226,0.3978932101365058
