galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,shell_geom_kpc3,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,L_static,delta_sigma_i,beta_i,rho_struct_proxy_i,delta_m_struct_msun,M_struct_i_msun,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35000000000000003,26.17771348511866,2.0374137901586646,133.77833333333334,101.05,6.423333333333333,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0,1.0,4.151054952328695,10866512720.304348,10866512720.304348,6531.350262749118,132.17927958970685,188.0638307126023
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35000000000000003,123.06191764770502,2.008564351001186,237.24166715144466,270.8333333333333,5.251666666666668,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.028849439157478507,0.8770893317439097,3.5384684634045347,43545071464.249016,54411584184.55336,2937.888272613357,161.92792480938616,287.23555049100565
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35000000000000003,330.66990554992066,2.003785467338003,278.4423539022395,314.6666666666667,13.983333333333334,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.00477888366318302,0.9785099843787187,3.9288704296741144,129915921389.82156,184327505574.37494,2533.3479007371943,211.6953574456487,349.7785997036711
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35000000000000003,522.0808627478394,2.0022110844558587,252.23871582961138,313.1666666666667,9.881666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0015743828821443984,0.9928685757912445,3.980260422293239,207801779523.19342,392129285097.56836,2161.9605296410464,245.73066066910417,352.14759314276995
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35000000000000003,713.3048951828697,2.0015359233580297,209.86750819634457,316.8333333333333,9.916666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0006751610978290579,0.9969354958559231,3.9938692013130397,284884645201.66895,677013930299.2373,1999.591249194672,276.23251450411965,346.9132068195321
