galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,I_ext_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
UGC05750,0.31,3.1,4.17163037672323,4.5,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,1,2.2968668058112294,0.1932360320039792,0.3495117860300859,601547.7084815778,674092.8057488628,572978.8848865334,0.15000000000000002,8906768.007300826,21.95424,4.17163037672323,0.34568721829781607,0.051853082744672416
UGC05750,1.47,15.7,17.317187993435887,8.5,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,1,2.2968668058112294,0.1932360320039792,0.3495117860300859,601547.7084815778,674092.8057488628,572978.8848865334,0.15000000000000002,8906768.007300826,21.95424,17.317187993435887,0.10300560467744509,0.015450840701616765
UGC05750,2.52,28.0,22.73033655712119,10.0,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,1,2.2968668058112294,0.1932360320039792,0.3495117860300859,601547.7084815778,674092.8057488628,572978.8848865334,0.15000000000000002,8906768.007300826,21.95424,22.73033655712119,0.1882022658171003,0.02823033987256505
UGC05750,3.35,36.0,26.325022317179524,11.0,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,1,2.2968668058112294,0.1932360320039792,0.3495117860300859,601547.7084815778,674092.8057488628,572978.8848865334,0.15000000000000002,8906768.007300826,21.95424,26.325022317179524,0.26874938007834653,0.04031240701175198
UGC05750,4.82,49.8,29.831568849123578,4.5,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2,2.10363077380725,0.1932360320039792,0.12857820052758073,210850.67248396366,417818.6489604317,355145.85161636694,0.15,8486322.581797652,658.5349320000001,29.831568849123578,0.40097251306980763,0.06014587696047114
UGC05750,6.6,61.5,38.68858875689316,4.5,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2,2.10363077380725,0.1932360320039792,0.12857820052758073,210850.67248396366,417818.6489604317,355145.85161636694,0.15,8486322.581797652,658.5349320000001,38.68858875689316,0.37091725598547703,0.055637588397821555
UGC05750,7.86,68.1,42.880412777863974,12.2,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2,2.10363077380725,0.1932360320039792,0.12857820052758073,210850.67248396366,417818.6489604317,355145.85161636694,0.15,8486322.581797652,658.5349320000001,42.880412777863974,0.37033167727071986,0.05554975159060798
UGC05750,9.43,73.4,47.473245096580456,12.2,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2,2.10363077380725,0.1932360320039792,0.12857820052758073,210850.67248396366,417818.6489604317,355145.85161636694,0.15,8486322.581797652,658.5349320000001,47.473245096580456,0.3532255436433181,0.05298383154649771
UGC05750,11.43,77.6,45.69966848895077,11.0,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2,2.10363077380725,0.1932360320039792,0.12857820052758073,210850.67248396366,417818.6489604317,355145.85161636694,0.15,8486322.581797652,658.5349320000001,45.69966848895077,0.41108674627640757,0.061663011941461135
UGC05750,22.85,78.9,45.51346174485083,11.0,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2,2.10363077380725,0.1932360320039792,0.12857820052758073,210850.67248396366,417818.6489604317,355145.85161636694,0.15,8486322.581797652,658.5349320000001,45.51346174485083,0.4231500412566435,0.06347250618849652
