r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,delta_sigma_i,beta_i,rho_struct_proxy_i,delta_m_struct_msun,M_struct_i_msun,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms,r_scale,L_static
5.03,214.0,178.85,6.0,NGC5907,0.0,178.85,0.0,9104.572564612326,NGC5907,NGC5907,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NGC05907,RFGC2946,EON_228.973_56.329,NGC05907,NGC05907,228.971832,56.32988,r,96.24,1.9,15.51,0.96,0.1611596009975062,6.205029013539652,21.66,0.08,0.212,10.35,0.09,IR,667.0,NGC5907,NED,intermediate,NGC05907,NGC05907,NGC5907,228.971832,56.32988,NGC5907,NGC5907,NED,,True,name_exact,NGC5907,84.0,0.0,Bizyaev_2014,0.35,1,2.007412319214639,0.0,1.0,4.029704219334696,89818196938.92921,89818196938.92921,15268.230829599343,277.12668776731823,329.82802120633215,-115.82802120633215,35.150000000000006,2.3031813366766207,0.4341820524835234
7.55,220.0,207.41,6.0,NGC5907,0.0,207.41,0.0,6410.596026490066,NGC5907,NGC5907,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NGC05907,RFGC2946,EON_228.973_56.329,NGC05907,NGC05907,228.971832,56.32988,r,96.24,1.9,15.51,0.96,0.1611596009975062,6.205029013539652,21.66,0.08,0.212,10.35,0.09,IR,667.0,NGC5907,NED,intermediate,NGC05907,NGC05907,NGC5907,228.971832,56.32988,NGC5907,NGC5907,NED,,True,name_exact,NGC5907,84.0,0.0,Bizyaev_2014,0.35,1,2.007412319214639,0.0,1.0,4.029704219334696,89818196938.92921,89818196938.92921,6776.895423825447,226.19805580482367,306.894881921941,-86.89488192194102,12.590000000000003,2.3031813366766207,0.4341820524835234
10.07,235.0,227.06,4.0,NGC5907,0.0,227.06,0.0,5484.111221449851,NGC5907,NGC5907,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NGC05907,RFGC2946,EON_228.973_56.329,NGC05907,NGC05907,228.971832,56.32988,r,96.24,1.9,15.51,0.96,0.1611596009975062,6.205029013539652,21.66,0.08,0.212,10.35,0.09,IR,667.0,NGC5907,NED,intermediate,NGC05907,NGC05907,NGC5907,228.971832,56.32988,NGC5907,NGC5907,NED,,True,name_exact,NGC5907,84.0,0.0,Bizyaev_2014,0.35,1,2.007412319214639,0.0,1.0,4.029704219334696,89818196938.92921,89818196938.92921,3809.480423496399,195.86083800650079,299.86282107758666,-64.86282107758666,7.939999999999998,2.3031813366766207,0.4341820524835234
12.58,235.0,233.42476518141774,4.0,NGC5907,16.93,232.81,0.0,4389.904610492846,NGC5907,NGC5907,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NGC05907,RFGC2946,EON_228.973_56.329,NGC05907,NGC05907,228.971832,56.32988,r,96.24,1.9,15.51,0.96,0.1611596009975062,6.205029013539652,21.66,0.08,0.212,10.35,0.09,IR,667.0,NGC5907,NED,intermediate,NGC05907,NGC05907,NGC5907,228.971832,56.32988,NGC5907,NGC5907,NED,,True,name_exact,NGC5907,84.0,0.0,Bizyaev_2014,0.35,1,2.007412319214639,0.0,1.0,4.029704219334696,89818196938.92921,89818196938.92921,2440.975413295197,175.2354721489162,291.8811259729782,-56.881125972978225,1.5752348185822598,2.3031813366766207,0.4341820524835234
17.61,231.0,219.46474090386363,2.0,NGC5907,31.1,217.25,0.0,3030.15332197615,NGC5907,NGC5907,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NGC05907,RFGC2946,EON_228.973_56.329,NGC05907,NGC05907,228.971832,56.32988,r,96.24,1.9,15.51,0.96,0.1611596009975062,6.205029013539652,21.66,0.08,0.212,10.35,0.09,IR,667.0,NGC5907,NED,intermediate,NGC05907,NGC05907,NGC5907,228.971832,56.32988,NGC5907,NGC5907,NED,,True,name_exact,NGC5907,84.0,0.0,Bizyaev_2014,0.35,2,2.003025776546799,0.004386542667840221,0.9899478606949438,3.9717819501506755,141022859562.3342,230841056501.26343,3201.508771559861,237.4417180429108,323.3316284670727,-92.33162846707268,11.535259096136372,2.3031813366766207,0.4341820524835234
20.13,232.0,213.16109518390076,2.0,NGC5907,42.26,208.93,0.0,2673.820168902136,NGC5907,NGC5907,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NGC05907,RFGC2946,EON_228.973_56.329,NGC05907,NGC05907,228.971832,56.32988,r,96.24,1.9,15.51,0.96,0.1611596009975062,6.205029013539652,21.66,0.08,0.212,10.35,0.09,IR,667.0,NGC5907,NED,intermediate,NGC05907,NGC05907,NGC5907,228.971832,56.32988,NGC5907,NGC5907,NED,,True,name_exact,NGC5907,84.0,0.0,Bizyaev_2014,0.35,2,2.003025776546799,0.004386542667840221,0.9899478606949438,3.9717819501506755,141022859562.3342,230841056501.26343,2450.111553384987,222.08274487145505,307.8285205591577,-75.82852055915771,18.838904816099244,2.3031813366766207,0.4341820524835234
22.65,225.0,205.51178384705827,7.0,NGC5907,53.67,198.38,0.0,2235.0993377483446,NGC5907,NGC5907,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NGC05907,RFGC2946,EON_228.973_56.329,NGC05907,NGC05907,228.971832,56.32988,r,96.24,1.9,15.51,0.96,0.1611596009975062,6.205029013539652,21.66,0.08,0.212,10.35,0.09,IR,667.0,NGC5907,NED,intermediate,NGC05907,NGC05907,NGC5907,228.971832,56.32988,NGC5907,NGC5907,NED,,True,name_exact,NGC5907,84.0,0.0,Bizyaev_2014,0.35,2,2.003025776546799,0.004386542667840221,0.9899478606949438,3.9717819501506755,141022859562.3342,230841056501.26343,1935.2496397659925,209.36428621113902,293.37433023476973,-68.37433023476973,19.48821615294173,2.3031813366766207,0.4341820524835234
27.68,229.0,186.069371203323,2.0,NGC5907,54.3,177.97,0.0,1894.544797687861,NGC5907,NGC5907,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NGC05907,RFGC2946,EON_228.973_56.329,NGC05907,NGC05907,228.971832,56.32988,r,96.24,1.9,15.51,0.96,0.1611596009975062,6.205029013539652,21.66,0.08,0.212,10.35,0.09,IR,667.0,NGC5907,NED,intermediate,NGC05907,NGC05907,NGC5907,228.971832,56.32988,NGC5907,NGC5907,NED,,True,name_exact,NGC5907,84.0,0.0,Bizyaev_2014,0.35,3,2.00183780020182,0.0011879763449789138,0.9972676148320807,3.996404942104476,289530149946.66943,520371206447.93286,2921.0664791099075,284.35034753233947,339.8189680429305,-110.81896804293052,42.93062879667701,2.3031813366766207,0.4341820524835234
30.2,218.0,181.25520378736718,2.0,NGC5907,64.08,169.55,0.0,1573.6423841059602,NGC5907,NGC5907,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NGC05907,RFGC2946,EON_228.973_56.329,NGC05907,NGC05907,228.971832,56.32988,r,96.24,1.9,15.51,0.96,0.1611596009975062,6.205029013539652,21.66,0.08,0.212,10.35,0.09,IR,667.0,NGC5907,NED,intermediate,NGC05907,NGC05907,NGC5907,228.971832,56.32988,NGC5907,NGC5907,NED,,True,name_exact,NGC5907,84.0,0.0,Bizyaev_2014,0.35,3,2.00183780020182,0.0011879763449789138,0.9972676148320807,3.996404942104476,289530149946.66943,520371206447.93286,2453.916193943225,272.22833992272996,327.050023631073,-109.05002363107297,36.74479621263282,2.3031813366766207,0.4341820524835234
32.71,214.0,173.52426141609132,2.0,NGC5907,61.58,162.23,0.0,1400.061143381229,NGC5907,NGC5907,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NGC05907,RFGC2946,EON_228.973_56.329,NGC05907,NGC05907,228.971832,56.32988,r,96.24,1.9,15.51,0.96,0.1611596009975062,6.205029013539652,21.66,0.08,0.212,10.35,0.09,IR,667.0,NGC5907,NED,intermediate,NGC05907,NGC05907,NGC5907,228.971832,56.32988,NGC5907,NGC5907,NED,,True,name_exact,NGC5907,84.0,0.0,Bizyaev_2014,0.35,3,2.00183780020182,0.0011879763449789138,0.9972676148320807,3.996404942104476,289530149946.66943,520371206447.93286,2091.7632290546567,261.5751808226037,313.8984621217151,-99.89846212171511,40.47573858390868,2.3031813366766207,0.4341820524835234
