galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
NGC7331,2.67,221.0,20.0,-12.02,317.9,136.84,18292.50936329588,346.30922020645073,-125.30922020645073,125.30922020645073,-0.567010046183035
NGC7331,3.21,237.0,13.0,-12.52,344.05,124.77,17498.130841121496,366.1894397712747,-129.1894397712747,129.1894397712747,-0.5451031213977835
NGC7331,3.74,249.0,8.0,-12.91,365.51,115.63,16577.807486631016,383.58118449684156,-134.58118449684156,134.58118449684156,-0.5404866847262714
NGC7331,4.27,250.0,5.0,-12.71,368.89,108.22,14637.002341920375,384.6465190275352,-134.6465190275352,134.6465190275352,-0.5385860761101408
NGC7331,4.81,253.0,5.0,-11.52,367.77,101.96,13307.484407484408,381.81582588991773,-128.81582588991773,128.81582588991773,-0.5091534620154851
NGC7331,5.35,257.0,5.0,-9.56,371.23,96.68,12345.607476635514,383.73184504286326,-126.73184504286326,126.73184504286326,-0.493120019622036
NGC7331,5.88,257.0,5.0,-6.26,365.05,92.22,11232.823129251701,376.5703367234334,-119.5703367234334,119.5703367234334,-0.4652542284958498
NGC7331,6.41,257.0,5.0,4.8,360.1,88.33,10304.05616224649,370.806201269612,-113.80620126961202,113.80620126961202,-0.44282568587397675
NGC7331,7.48,257.0,5.0,12.22,345.54,81.76,8830.080213903742,355.2913137131275,-98.29131371312752,98.29131371312752,-0.3824564735919359
NGC7331,8.55,255.0,5.0,16.59,324.23,76.48,7605.263157894737,333.54086915998766,-78.54086915998766,78.54086915998766,-0.30800340847053986
NGC7331,9.62,248.0,6.0,22.45,311.29,72.1,6393.347193347194,320.31839878470925,-72.31839878470925,72.31839878470925,-0.29160644671253727
NGC7331,10.66,247.0,6.0,28.21,299.93,68.49,5723.170731707317,308.94123891122075,-61.94123891122075,61.94123891122075,-0.2507742466041326
NGC7331,11.74,246.0,6.0,33.77,288.64,65.26,5154.684838160136,297.84615172937856,-51.84615172937856,51.84615172937856,-0.21075671434706733
NGC7331,12.83,244.0,6.0,38.94,280.42,62.43,4640.37412314887,289.9124090134812,-45.91240901348118,45.91240901348118,-0.18816561071098845
NGC7331,13.91,242.0,4.0,43.31,272.13,59.96,4210.208483105679,282.00300459392275,-40.00300459392275,40.00300459392275,-0.16530167187571385
NGC7331,15.0,238.0,3.0,45.59,263.74,57.74,3776.266666666667,273.80858879881765,-35.80858879881765,35.80858879881765,-0.15045625545721703
NGC7331,16.08,236.0,3.0,47.38,256.44,55.77,3463.681592039801,266.6770160700018,-30.677016070001798,30.677016070001798,-0.12998735622882118
NGC7331,17.07,233.0,3.0,49.66,250.86,54.12,3180.3749267721146,261.3920993450261,-28.39209934502611,28.39209934502611,-0.12185450362672151
NGC7331,18.15,234.0,3.0,53.93,245.89,52.49,3016.8595041322315,257.14886175132096,-23.148861751320965,23.148861751320965,-0.09892675962102976
NGC7331,19.24,236.0,3.0,57.71,242.0,50.98,2894.802494802495,253.95551677409964,-17.955516774099635,17.955516774099635,-0.07608269819533743
NGC7331,20.32,237.0,3.0,60.09,237.62,49.61,2764.222440944882,250.0704392766166,-13.07043927661661,13.07043927661661,-0.055149532812728316
NGC7331,21.41,238.0,3.0,61.78,231.06,48.33,2645.6795889771133,244.01082127643437,-6.0108212764343705,6.0108212764343705,-0.02525555158165702
NGC7331,22.49,240.0,3.0,63.67,224.49,47.15,2561.1382836816365,238.10663059806234,1.8933694019376617,1.8933694019376617,0.007889039174740257
NGC7331,23.48,238.0,3.0,64.56,219.56,46.15,2412.4361158432707,233.64781521585888,4.352184784141116,4.352184784141116,0.018286490689668554
NGC7331,24.57,237.0,3.0,62.97,214.35,45.11,2286.0805860805863,228.41878185662532,8.581218143374684,8.581218143374684,0.03620767149103243
NGC7331,25.65,236.0,3.0,61.48,209.72,44.15,2171.3840155945422,223.95970704509716,12.040292954902839,12.040292954902839,0.05101819048687643
NGC7331,26.74,238.0,3.0,60.79,205.21,43.24,2118.3246073298433,220.0705219524547,17.929478047545302,17.929478047545302,0.07533394137624076
NGC7331,27.82,239.0,3.0,59.4,200.95,42.4,2053.235082674335,216.47801272383717,22.521987276162832,22.521987276162832,0.09423425638561854
NGC7331,28.91,239.0,3.0,57.31,196.85,41.59,1975.8215150466967,213.057650679036,25.942349320964013,25.942349320964013,0.10854539464838499
NGC7331,29.89,241.0,4.0,55.13,193.34,40.9,1943.1582469053194,210.259581271295,30.74041872870501,30.74041872870501,0.12755360468342328
NGC7331,30.98,236.0,4.0,52.84,189.65,40.18,1797.8050355067785,207.48498695705652,28.51501304294348,28.51501304294348,0.12082632645315033
NGC7331,32.06,236.0,5.0,51.55,186.2,39.49,1737.2426699937616,205.21424687759583,30.785753122404174,30.785753122404174,0.13044810645086513
NGC7331,33.15,239.0,5.0,51.35,182.89,38.84,1723.107088989442,203.53274754727616,35.46725245272384,35.46725245272384,0.14839854582729642
NGC7331,34.23,237.0,5.0,50.86,179.88,38.22,1640.9290096406662,202.15072397867797,34.84927602132203,34.84927602132203,0.14704335873975538
NGC7331,35.32,241.0,7.0,49.27,177.27,37.63,1644.422423556059,200.98471717928433,40.01528282071567,40.01528282071567,0.16603851792828078
NGC7331,36.31,238.0,9.0,47.97,173.78,37.11,1560.011016248967,199.08290288646046,38.91709711353954,38.91709711353954,0.16351721476277117
