galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
NGC3893,1.74,145.0,6.8,17.89,202.16,0.0,12083.333333333334,202.95003744764375,-57.95003744764375,57.95003744764375,-0.3996554306734052
NGC3893,3.5,174.0,6.8,17.67,210.45,0.0,8650.285714285714,211.19050972995922,-37.19050972995922,37.19050972995922,-0.2137385616664323
NGC3893,5.24,194.0,6.4,27.48,211.51,0.0,7182.442748091603,213.28767076415832,-19.28767076415832,19.28767076415832,-0.09942098332040372
NGC3893,6.98,190.0,5.5,42.57,187.95,0.0,5171.919770773638,192.71068314963753,-2.710683149637532,2.710683149637532,-0.014266753419144906
NGC3893,8.81,186.0,5.8,48.28,172.49,0.0,3926.9012485811577,179.15953204506874,6.840467954931256,6.840467954931256,0.03677670943511428
NGC3893,10.9,188.0,7.0,45.48,161.01,0.0,3242.5688073394494,167.5189686607039,20.481031339296095,20.481031339296095,0.10894165606008561
NGC3893,13.12,187.0,8.5,43.32,148.11,0.0,2665.32012195122,154.84611717307916,32.153882826920835,32.153882826920835,0.1719458974701649
NGC3893,15.33,179.0,12.6,43.11,134.96,0.0,2090.0848010437053,142.60874526688937,36.39125473311063,36.39125473311063,0.20330309906765714
NGC3893,17.3,176.0,11.7,43.21,126.37,0.0,1790.5202312138726,134.85428211811484,41.14571788188516,41.14571788188516,0.2337824879652566
NGC3893,19.05,167.0,13.5,44.51,119.3,0.0,1463.989501312336,128.95664124844282,38.04335875155718,38.04335875155718,0.22780454342249806
