galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,sigma_scale,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,mean_dw_pert,mean_sigma,mean_beta,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
DDO168,1,0.41,2.06,1.235,1.6500000000000001,0.35,2.073273072695132,22.801932483717632,29.560000000000002,1.8199999999999998,5,4.12,0.41,2.3074512826452187,0.43337859720861316,0.0,1.0,0.07327307269513206,0.07327307269513206,0.1209005699469679,37221.71243730676,0.048143220556609245,0.025129852138522812,0.9452501590223938,1.6047740185869748,2.5129852139522812,0.9229805130584875,1.0,37221.71243730676,2950.467142928113,60.3641194876246,64.52716518264411,DDO168_segment_structure_v8_5.csv
DDO168,2,2.47,4.12,3.295,1.65,0.35,2.0230133684180864,28.378055993417775,53.36,2.06,5,4.12,0.41,2.3074512826452187,0.43337859720861316,0.050259704277045625,0.8905003180447876,0.07327307269513206,0.06524969453913394,0.2285625659365389,37221.71243730676,0.048143220556609245,0.025129852138522812,0.9452501590223938,1.6047740185869748,2.5129852139522812,0.9229805130584875,1.0,37221.71243730676,783.5931208800584,50.8127871042299,58.20011507948542,DDO168_segment_structure_v8_5.csv
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35000000000000003,2.03010047535154,133.77833333333334,101.05,6.423333333333333,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0,1.0,0.030100475351539924,0.030100475351539924,0.13394711531435266,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,57.328251239324324,12.383580744889281,134.35027183266,ESO563-G021_segment_structure_v8_5.csv
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35000000000000003,2.007271578606507,237.24166715144466,270.8333333333333,5.251666666666668,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.022828896745032967,0.901425665377484,0.030100475351539924,0.027133341021940434,0.30407316352191915,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,11.690808445627178,10.214718076247753,237.4614686600209,ESO563-G021_segment_structure_v8_5.csv
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35000000000000003,2.003279495107795,278.4423539022395,314.6666666666667,13.983333333333334,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.003992083498712162,0.982016095767664,0.0072715786065069565,0.0071408072332296325,0.36477002500437106,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,3.569820497449555,7.946705266957032,278.55572974042354,ESO563-G021_segment_structure_v8_5.csv
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35000000000000003,2.0019365354797065,252.23871582961138,313.1666666666667,9.881666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0013429596280882805,0.9939136480701711,0.0032794951077947943,0.003259534946416603,0.39247607204891216,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,1.5408281876147383,6.560131955995979,252.32400816143422,ESO563-G021_segment_structure_v8_5.csv
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35000000000000003,2.0013540357215085,209.86750819634457,316.8333333333333,9.916666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0005824997581980185,0.9973555218882836,0.0019365354797065137,0.0019314143540178675,0.408893094058064,3062.5479825502034,0.008788424053411337,0.005749287926006286,0.9749421862207205,0.29294746848037795,0.5749287927006287,1.8183567518821087,1.0,3062.5479825502034,0.8599554344489018,5.728516333097959,209.9456760591209,ESO563-G021_segment_structure_v8_5.csv
IC4202,1,0.77,5.5,3.135,4.73,0.35000000000000003,2.028554327113041,185.46424308097198,141.28571428571428,3.8814285714285712,7,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0,1.0,0.028554327113040845,0.028554327113040845,0.1350619672446832,2387.511282231888,0.009843504928133573,0.005174358578746841,0.9822966617105612,0.3281168309711191,0.5174358579746842,1.4062430931363599,1.0,2387.511282231888,32.80978717897839,10.141926976965337,185.74133666043204,IC4202_segment_structure_v8_5.csv
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,0.35000000000000003,2.0088826534259168,226.0905499053524,236.0,4.985,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.01967167368712408,0.9331793305044864,0.028554327113040845,0.02664630785835356,0.24084780944234685,2387.511282231888,0.009843504928133573,0.005174358578746841,0.9822966617105612,0.3281168309711191,0.5174358579746842,1.4062430931363599,1.0,2387.511282231888,8.438280892030475,8.346137355909713,226.2445463768538,IC4202_segment_structure_v8_5.csv
IC4202,3,11.02,14.59,12.805,3.5700000000000003,0.35000000000000003,2.00527323534315,242.07131385357616,243.16666666666666,6.103333333333333,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0036094180827666023,0.987390871563309,0.008882653425916764,0.008770650908010767,0.2721590331839453,2387.511282231888,0.009843504928133573,0.005174358578746841,0.9822966617105612,0.3281168309711191,0.5174358579746842,1.4062430931363599,1.0,2387.511282231888,3.9628626513492016,7.123514318826524,242.17610420321634,IC4202_segment_structure_v8_5.csv
