galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC6195,1.33,175.0,13.6,0.0,53.18,236.8,23026.315789473683
NGC6195,2.34,237.0,3.65,0.0,84.9,258.48,24003.846153846156
NGC6195,3.33,247.0,3.81,0.0,110.89,258.69,18321.02102102102
NGC6195,4.34,242.0,3.56,0.0,133.39,255.32,13494.009216589862
NGC6195,5.35,240.0,4.2,0.11,152.34,247.96,10766.355140186917
NGC6195,6.34,233.0,4.59,0.0,168.35,242.98,8562.933753943218
NGC6195,7.34,233.0,4.63,0.0,182.51,235.83,7396.321525885559
NGC6195,8.32,247.0,6.41,1.96,192.78,226.67,7332.8125
NGC6195,9.34,248.0,7.64,15.34,198.8,216.7,6585.010706638116
NGC6195,10.38,242.0,9.05,25.14,207.14,206.98,5642.003853564547
NGC6195,11.36,252.0,12.5,33.65,211.69,198.54,5590.140845070423
NGC6195,12.34,245.0,8.72,41.56,213.57,190.81,4864.262560777958
NGC6195,13.32,247.0,4.44,48.79,217.57,183.83,4580.255255255255
NGC6195,14.3,238.0,9.29,54.63,223.69,177.48,3961.118881118881
NGC6195,15.47,249.0,9.98,60.46,231.69,170.69,4007.821590174531
NGC6195,16.35,250.0,6.15,63.83,234.56,166.06,3822.6299694189597
NGC6195,17.92,253.0,6.96,68.08,238.09,158.63,3571.9308035714284
NGC6195,19.1,258.0,15.4,69.27,241.54,153.66,3485.026178010471
NGC6195,22.52,254.0,6.51,67.69,240.74,141.52,2864.8312611012434
NGC6195,26.05,256.0,7.73,66.4,225.1,131.58,2515.7773512476006
NGC6195,29.48,255.0,8.5,63.14,208.87,123.68,2205.7327001356853
NGC6195,33.0,244.0,5.75,61.55,195.11,116.89,1804.121212121212
NGC6195,36.43,246.0,4.24,65.91,185.57,111.25,1661.1583859456491
