galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC04305,0.25,3.17,3.22,-1.04,6.45,0.0,40.1956
UGC04305,0.5,10.5,3.32,-3.35,13.17,0.0,220.5
UGC04305,0.75,17.5,4.47,4.05,18.27,0.0,408.3333333333333
UGC04305,1.0,22.7,4.96,4.85,24.79,0.0,515.29
UGC04305,1.26,29.7,5.29,6.16,29.98,0.0,700.0714285714286
UGC04305,1.5,34.5,4.7,7.83,30.56,0.0,793.5
UGC04305,1.76,36.0,3.51,8.37,30.97,0.0,736.3636363636364
UGC04305,2.01,37.3,3.45,8.4,29.96,0.0,692.18407960199
UGC04305,2.26,35.6,3.57,10.27,30.04,0.0,560.778761061947
UGC04305,2.51,34.9,3.88,11.89,31.48,0.0,485.26294820717135
UGC04305,2.76,32.7,3.27,15.11,33.07,0.0,387.42391304347836
UGC04305,3.01,32.8,3.21,17.63,34.11,0.0,357.421926910299
UGC04305,3.27,33.2,3.21,19.74,33.92,0.0,337.07645259938846
UGC04305,3.51,32.1,3.23,22.06,33.27,0.0,293.5641025641026
UGC04305,3.76,30.1,3.16,23.37,32.39,0.0,240.96010638297878
UGC04305,4.02,32.3,3.16,24.68,31.18,0.0,259.5248756218905
UGC04305,4.26,33.6,3.12,25.38,30.16,0.0,265.0140845070423
UGC04305,4.52,35.1,3.12,25.99,29.51,0.0,272.5685840707965
UGC04305,4.77,35.3,3.12,26.59,29.25,0.0,261.23480083857436
UGC04305,5.02,35.2,3.13,26.9,29.1,0.0,246.82071713147417
UGC04305,5.27,34.6,3.11,27.2,28.04,0.0,227.16508538899433
UGC04305,5.52,33.0,3.11,27.3,26.8,0.0,197.2826086956522
